,unit_id,ever_treated,ts,gain_rate,time_period
0,352,False,-14,1283.0,553.0
1,352,False,-13,1611.0,554.0
2,352,False,-12,1819.0,555.0
3,352,False,-11,2285.0,556.0
4,352,False,-10,1334.0,557.0
5,352,False,-9,1282.0,558.0
6,352,False,-8,1166.0,559.0
7,352,False,-7,1238.0,560.0
8,352,False,-6,1799.0,561.0
9,352,False,-5,7317.0,562.0
10,352,False,-4,1562.0,563.0
11,352,False,-3,2807.0,564.0
12,352,False,-2,1356.0,565.0
13,352,False,-1,2156.0,566.0
14,352,False,0,889.0,567.0
15,352,False,1,452.0,568.0
16,352,False,2,1759.0,569.0
17,352,False,3,2611.0,570.0
18,352,False,4,490.0,571.0
19,352,False,5,426.0,572.0
20,352,False,6,1359.0,573.0
21,352,False,7,830.0,574.0
22,352,False,8,740.0,575.0
23,352,False,9,269.0,576.0
24,352,False,10,269.0,577.0
25,352,False,11,137.0,578.0
26,352,False,12,92.0,579.0
27,352,False,13,68.0,580.0
28,352,True,-14,393.0,553.0
29,352,True,-13,630.0,554.0
30,352,True,-12,825.0,555.0
31,352,True,-11,1003.0,556.0
32,352,True,-10,660.0,557.0
33,352,True,-9,696.0,558.0
34,352,True,-8,569.0,559.0
35,352,True,-7,715.0,560.0
36,352,True,-6,1125.0,561.0
37,352,True,-5,5470.0,562.0
38,352,True,-4,812.0,563.0
39,352,True,-3,1594.0,564.0
40,352,True,-2,687.0,565.0
41,352,True,-1,1462.0,566.0
42,352,True,0,271.0,567.0
43,352,True,1,188.0,568.0
44,352,True,2,928.0,569.0
45,352,True,3,1008.0,570.0
46,352,True,4,174.0,571.0
47,352,True,5,132.0,572.0
48,352,True,6,361.0,573.0
49,352,True,7,248.0,574.0
50,352,True,8,237.0,575.0
51,352,True,9,66.0,576.0
52,352,True,10,76.0,577.0
53,352,True,11,38.0,578.0
54,352,True,12,15.0,579.0
55,352,True,13,14.0,580.0
56,353,False,-14,1421.0,553.0
57,353,False,-13,784.0,554.0
58,353,False,-12,2254.0,555.0
59,353,False,-11,1898.0,556.0
60,353,False,-10,2467.0,557.0
61,353,False,-9,455.0,558.0
62,353,False,-8,349.0,559.0
63,353,False,-7,287.0,560.0
64,353,False,-6,6199.0,561.0
65,353,False,-5,2291.0,562.0
66,353,False,-4,3640.0,563.0
67,353,False,-3,1076.0,564.0
68,353,False,-2,3969.0,565.0
69,353,False,-1,1877.0,566.0
70,353,False,0,3471.0,567.0
71,353,False,1,2622.0,568.0
72,353,False,2,1896.0,569.0
73,353,False,3,1565.0,570.0
74,353,False,4,1943.0,571.0
75,353,False,5,508.0,572.0
76,353,False,6,2148.0,573.0
77,353,False,7,1624.0,574.0
78,353,False,8,2286.0,575.0
79,353,False,9,431.0,576.0
80,353,False,10,3622.0,577.0
81,353,False,11,1749.0,578.0
82,353,False,12,244.0,579.0
83,353,False,13,1053.0,580.0
84,353,True,-14,348.0,553.0
85,353,True,-13,167.0,554.0
86,353,True,-12,249.0,555.0
87,353,True,-11,1467.0,556.0
88,353,True,-10,1740.0,557.0
89,353,True,-9,193.0,558.0
90,353,True,-8,164.0,559.0
91,353,True,-7,88.0,560.0
92,353,True,-6,5388.0,561.0
93,353,True,-5,1482.0,562.0
94,353,True,-4,2426.0,563.0
95,353,True,-3,542.0,564.0
96,353,True,-2,2068.0,565.0
97,353,True,-1,1182.0,566.0
98,353,True,0,2171.0,567.0
99,353,True,1,1301.0,568.0
100,353,True,2,757.0,569.0
101,353,True,3,516.0,570.0
102,353,True,4,782.0,571.0
103,353,True,5,137.0,572.0
104,353,True,6,836.0,573.0
105,353,True,7,592.0,574.0
106,353,True,8,756.0,575.0
107,353,True,9,197.0,576.0
108,353,True,10,1318.0,577.0
109,353,True,11,600.0,578.0
110,353,True,12,57.0,579.0
111,353,True,13,289.0,580.0
112,354,False,-14,461.0,553.0
113,354,False,-13,684.0,554.0
114,354,False,-12,2538.0,555.0
115,354,False,-11,7121.0,556.0
116,354,False,-10,1799.0,557.0
117,354,False,-9,2764.0,558.0
118,354,False,-8,2233.0,559.0
119,354,False,-7,2417.0,560.0
120,354,False,-6,1184.0,561.0
121,354,False,-5,1937.0,562.0
122,354,False,-4,2135.0,563.0
123,354,False,-3,4492.0,564.0
124,354,False,-2,1825.0,565.0
125,354,False,-1,1302.0,566.0
126,354,False,0,3072.0,567.0
127,354,False,1,2237.0,568.0
128,354,False,2,1449.0,569.0
129,354,False,3,902.0,570.0
130,354,False,4,1475.0,571.0
131,354,False,5,814.0,572.0
132,354,False,6,1711.0,573.0
133,354,False,7,1388.0,574.0
134,354,False,8,2312.0,575.0
135,354,False,9,283.0,576.0
136,354,False,10,3198.0,577.0
137,354,False,11,1561.0,578.0
138,354,False,12,225.0,579.0
139,354,False,13,1010.0,580.0
140,354,True,-14,182.0,553.0
141,354,True,-13,288.0,554.0
142,354,True,-12,1647.0,555.0
143,354,True,-11,5207.0,556.0
144,354,True,-10,1110.0,557.0
145,354,True,-9,1453.0,558.0
146,354,True,-8,1282.0,559.0
147,354,True,-7,1282.0,560.0
148,354,True,-6,560.0,561.0
149,354,True,-5,983.0,562.0
150,354,True,-4,1198.0,563.0
151,354,True,-3,2480.0,564.0
152,354,True,-2,919.0,565.0
153,354,True,-1,683.0,566.0
154,354,True,0,1423.0,567.0
155,354,True,1,664.0,568.0
156,354,True,2,362.0,569.0
157,354,True,3,202.0,570.0
158,354,True,4,408.0,571.0
159,354,True,5,212.0,572.0
160,354,True,6,421.0,573.0
161,354,True,7,283.0,574.0
162,354,True,8,470.0,575.0
163,354,True,9,60.0,576.0
164,354,True,10,657.0,577.0
165,354,True,11,351.0,578.0
166,354,True,12,47.0,579.0
167,354,True,13,193.0,580.0
168,355,False,-14,11.0,543.0
169,355,False,-13,65.0,544.0
170,355,False,-12,107.0,545.0
171,355,False,-11,230.0,546.0
172,355,False,-10,366.0,547.0
173,355,False,-9,361.0,548.0
174,355,False,-8,488.0,549.0
175,355,False,-7,1231.0,550.0
176,355,False,-6,2805.0,551.0
177,355,False,-5,6654.0,552.0
178,355,False,-4,31328.0,553.0
179,355,False,-3,29702.0,554.0
180,355,False,-2,26812.0,555.0
181,355,False,-1,21417.0,556.0
182,355,False,0,29734.0,557.0
183,355,False,1,31177.0,558.0
184,355,False,2,16762.0,559.0
185,355,False,3,20044.0,560.0
186,355,False,4,11244.0,561.0
187,355,False,5,6726.0,562.0
188,355,False,6,9261.0,563.0
189,355,False,7,7388.0,564.0
190,355,False,8,12811.0,565.0
191,355,False,9,10241.0,566.0
192,355,False,10,4722.0,567.0
193,355,False,11,2628.0,568.0
194,355,False,12,2832.0,569.0
195,355,False,13,3919.0,570.0
196,355,True,-14,2.0,543.0
197,355,True,-13,22.0,544.0
198,355,True,-12,28.0,545.0
199,355,True,-11,29.0,546.0
200,355,True,-10,52.0,547.0
201,355,True,-9,41.0,548.0
202,355,True,-8,63.0,549.0
203,355,True,-7,167.0,550.0
204,355,True,-6,467.0,551.0
205,355,True,-5,866.0,552.0
206,355,True,-4,4722.0,553.0
207,355,True,-3,4442.0,554.0
208,355,True,-2,3936.0,555.0
209,355,True,-1,4933.0,556.0
210,355,True,0,4134.0,557.0
211,355,True,1,3809.0,558.0
212,355,True,2,1988.0,559.0
213,355,True,3,1317.0,560.0
214,355,True,4,885.0,561.0
215,355,True,5,258.0,562.0
216,355,True,6,532.0,563.0
217,355,True,7,333.0,564.0
218,355,True,8,488.0,565.0
219,355,True,9,573.0,566.0
220,355,True,10,209.0,567.0
221,355,True,11,67.0,568.0
222,355,True,12,94.0,569.0
223,355,True,13,128.0,570.0
224,356,False,-14,0.0,543.0
225,356,False,-13,0.0,544.0
226,356,False,-12,0.0,545.0
227,356,False,-11,0.0,546.0
228,356,False,-10,0.0,547.0
229,356,False,-9,0.0,548.0
230,356,False,-8,0.0,549.0
231,356,False,-7,0.0,550.0
232,356,False,-6,0.0,551.0
233,356,False,-5,0.0,552.0
234,356,False,-4,0.0,553.0
235,356,False,-3,0.0,554.0
236,356,False,-2,0.0,555.0
237,356,False,-1,0.0,556.0
238,356,False,0,0.0,557.0
239,356,False,1,0.0,558.0
240,356,False,2,3364.0,559.0
241,356,False,3,3280.0,560.0
242,356,False,4,2044.0,561.0
243,356,False,5,2054.0,562.0
244,356,False,6,3917.0,563.0
245,356,False,7,5241.0,564.0
246,356,False,8,3719.0,565.0
247,356,False,9,2204.0,566.0
248,356,False,10,3533.0,567.0
249,356,False,11,3426.0,568.0
250,356,False,12,1590.0,569.0
251,356,False,13,1184.0,570.0
252,356,True,-14,0.0,543.0
253,356,True,-13,0.0,544.0
254,356,True,-12,0.0,545.0
255,356,True,-11,0.0,546.0
256,356,True,-10,0.0,547.0
257,356,True,-9,0.0,548.0
258,356,True,-8,0.0,549.0
259,356,True,-7,0.0,550.0
260,356,True,-6,0.0,551.0
261,356,True,-5,0.0,552.0
262,356,True,-4,0.0,553.0
263,356,True,-3,0.0,554.0
264,356,True,-2,0.0,555.0
265,356,True,-1,0.0,556.0
266,356,True,0,0.0,557.0
267,356,True,1,0.0,558.0
268,356,True,2,1455.0,559.0
269,356,True,3,1125.0,560.0
270,356,True,4,599.0,561.0
271,356,True,5,713.0,562.0
272,356,True,6,1231.0,563.0
273,356,True,7,1423.0,564.0
274,356,True,8,981.0,565.0
275,356,True,9,549.0,566.0
276,356,True,10,925.0,567.0
277,356,True,11,894.0,568.0
278,356,True,12,422.0,569.0
279,356,True,13,235.0,570.0
280,357,False,-14,41.0,543.0
281,357,False,-13,160.0,544.0
282,357,False,-12,295.0,545.0
283,357,False,-11,167.0,546.0
284,357,False,-10,396.0,547.0
285,357,False,-9,421.0,548.0
286,357,False,-8,516.0,549.0
287,357,False,-7,618.0,550.0
288,357,False,-6,555.0,551.0
289,357,False,-5,520.0,552.0
290,357,False,-4,446.0,553.0
291,357,False,-3,547.0,554.0
292,357,False,-2,837.0,555.0
293,357,False,-1,5926.0,556.0
294,357,False,0,5828.0,557.0
295,357,False,1,2271.0,558.0
296,357,False,2,3604.0,559.0
297,357,False,3,3122.0,560.0
298,357,False,4,2004.0,561.0
299,357,False,5,2281.0,562.0
300,357,False,6,2882.0,563.0
301,357,False,7,4806.0,564.0
302,357,False,8,3570.0,565.0
303,357,False,9,1881.0,566.0
304,357,False,10,3095.0,567.0
305,357,False,11,3178.0,568.0
306,357,False,12,1492.0,569.0
307,357,False,13,1046.0,570.0
308,357,True,-14,1.0,543.0
309,357,True,-13,18.0,544.0
310,357,True,-12,20.0,545.0
311,357,True,-11,21.0,546.0
312,357,True,-10,39.0,547.0
313,357,True,-9,54.0,548.0
314,357,True,-8,75.0,549.0
315,357,True,-7,149.0,550.0
316,357,True,-6,199.0,551.0
317,357,True,-5,180.0,552.0
318,357,True,-4,168.0,553.0
319,357,True,-3,219.0,554.0
320,357,True,-2,422.0,555.0
321,357,True,-1,4434.0,556.0
322,357,True,0,1911.0,557.0
323,357,True,1,495.0,558.0
324,357,True,2,762.0,559.0
325,357,True,3,668.0,560.0
326,357,True,4,375.0,561.0
327,357,True,5,421.0,562.0
328,357,True,6,489.0,563.0
329,357,True,7,744.0,564.0
330,357,True,8,541.0,565.0
331,357,True,9,279.0,566.0
332,357,True,10,466.0,567.0
333,357,True,11,553.0,568.0
334,357,True,12,219.0,569.0
335,357,True,13,116.0,570.0
336,358,False,-14,51.0,844.0
337,358,False,-13,58.0,845.0
338,358,False,-12,61.0,846.0
339,358,False,-11,47.0,847.0
340,358,False,-10,62.0,848.0
341,358,False,-9,62.0,849.0
342,358,False,-8,59.0,850.0
343,358,False,-7,54.0,851.0
344,358,False,-6,60.0,852.0
345,358,False,-5,72.0,853.0
346,358,False,-4,67.0,854.0
347,358,False,-3,102.0,855.0
348,358,False,-2,107.0,856.0
349,358,False,-1,88.0,857.0
350,358,False,0,128.0,858.0
351,358,False,1,118.0,859.0
352,358,False,2,94.0,860.0
353,358,False,3,111.0,861.0
354,358,False,4,124.0,862.0
355,358,False,5,95.0,863.0
356,358,False,6,67.0,864.0
357,358,False,7,68.0,865.0
358,358,False,8,0.0,866.0
359,358,False,9,0.0,867.0
360,358,False,10,0.0,868.0
361,358,False,11,0.0,869.0
362,358,False,12,0.0,870.0
363,358,False,13,0.0,871.0
364,358,True,-14,2.0,844.0
365,358,True,-13,6.0,845.0
366,358,True,-12,3.0,846.0
367,358,True,-11,7.0,847.0
368,358,True,-10,5.0,848.0
369,358,True,-9,4.0,849.0
370,358,True,-8,5.0,850.0
371,358,True,-7,4.0,851.0
372,358,True,-6,7.0,852.0
373,358,True,-5,9.0,853.0
374,358,True,-4,6.0,854.0
375,358,True,-3,2.0,855.0
376,358,True,-2,0.0,856.0
377,358,True,-1,1.0,857.0
378,358,True,0,23.0,858.0
379,358,True,1,8.0,859.0
380,358,True,2,7.0,860.0
381,358,True,3,7.0,861.0
382,358,True,4,7.0,862.0
383,358,True,5,4.0,863.0
384,358,True,6,9.0,864.0
385,358,True,7,8.0,865.0
386,358,True,8,0.0,866.0
387,358,True,9,0.0,867.0
388,358,True,10,0.0,868.0
389,358,True,11,0.0,869.0
390,358,True,12,0.0,870.0
391,358,True,13,0.0,871.0
392,359,False,-14,24.0,844.0
393,359,False,-13,43.0,845.0
394,359,False,-12,61.0,846.0
395,359,False,-11,31.0,847.0
396,359,False,-10,35.0,848.0
397,359,False,-9,34.0,849.0
398,359,False,-8,28.0,850.0
399,359,False,-7,28.0,851.0
400,359,False,-6,42.0,852.0
401,359,False,-5,38.0,853.0
402,359,False,-4,36.0,854.0
403,359,False,-3,42.0,855.0
404,359,False,-2,40.0,856.0
405,359,False,-1,42.0,857.0
406,359,False,0,25.0,858.0
407,359,False,1,27.0,859.0
408,359,False,2,20.0,860.0
409,359,False,3,25.0,861.0
410,359,False,4,96.0,862.0
411,359,False,5,35.0,863.0
412,359,False,6,34.0,864.0
413,359,False,7,25.0,865.0
414,359,False,8,47.0,866.0
415,359,False,9,37.0,867.0
416,359,False,10,29.0,868.0
417,359,False,11,28.0,869.0
418,359,False,12,26.0,870.0
419,359,False,13,12.0,871.0
420,359,True,-14,5.0,844.0
421,359,True,-13,25.0,845.0
422,359,True,-12,58.0,846.0
423,359,True,-11,10.0,847.0
424,359,True,-10,11.0,848.0
425,359,True,-9,5.0,849.0
426,359,True,-8,5.0,850.0
427,359,True,-7,5.0,851.0
428,359,True,-6,11.0,852.0
429,359,True,-5,10.0,853.0
430,359,True,-4,10.0,854.0
431,359,True,-3,12.0,855.0
432,359,True,-2,9.0,856.0
433,359,True,-1,23.0,857.0
434,359,True,0,7.0,858.0
435,359,True,1,5.0,859.0
436,359,True,2,8.0,860.0
437,359,True,3,6.0,861.0
438,359,True,4,32.0,862.0
439,359,True,5,11.0,863.0
440,359,True,6,9.0,864.0
441,359,True,7,4.0,865.0
442,359,True,8,4.0,866.0
443,359,True,9,16.0,867.0
444,359,True,10,4.0,868.0
445,359,True,11,9.0,869.0
446,359,True,12,8.0,870.0
447,359,True,13,6.0,871.0
448,360,False,-14,15.0,844.0
449,360,False,-13,22.0,845.0
450,360,False,-12,12.0,846.0
451,360,False,-11,14.0,847.0
452,360,False,-10,33.0,848.0
453,360,False,-9,18.0,849.0
454,360,False,-8,10.0,850.0
455,360,False,-7,27.0,851.0
456,360,False,-6,43.0,852.0
457,360,False,-5,42.0,853.0
458,360,False,-4,62.0,854.0
459,360,False,-3,43.0,855.0
460,360,False,-2,26.0,856.0
461,360,False,-1,43.0,857.0
462,360,False,0,196.0,858.0
463,360,False,1,210.0,859.0
464,360,False,2,66.0,860.0
465,360,False,3,384.0,861.0
466,360,False,4,536.0,862.0
467,360,False,5,238.0,863.0
468,360,False,6,91.0,864.0
469,360,False,7,464.0,865.0
470,360,False,8,201.0,866.0
471,360,False,9,281.0,867.0
472,360,False,10,67.0,868.0
473,360,False,11,94.0,869.0
474,360,False,12,66.0,870.0
475,360,False,13,27.0,871.0
476,360,True,-14,5.0,844.0
477,360,True,-13,6.0,845.0
478,360,True,-12,10.0,846.0
479,360,True,-11,8.0,847.0
480,360,True,-10,10.0,848.0
481,360,True,-9,3.0,849.0
482,360,True,-8,6.0,850.0
483,360,True,-7,13.0,851.0
484,360,True,-6,29.0,852.0
485,360,True,-5,19.0,853.0
486,360,True,-4,32.0,854.0
487,360,True,-3,20.0,855.0
488,360,True,-2,9.0,856.0
489,360,True,-1,10.0,857.0
490,360,True,0,145.0,858.0
491,360,True,1,96.0,859.0
492,360,True,2,35.0,860.0
493,360,True,3,255.0,861.0
494,360,True,4,265.0,862.0
495,360,True,5,192.0,863.0
496,360,True,6,40.0,864.0
497,360,True,7,349.0,865.0
498,360,True,8,86.0,866.0
499,360,True,9,223.0,867.0
500,360,True,10,28.0,868.0
501,360,True,11,62.0,869.0
502,360,True,12,41.0,870.0
503,360,True,13,5.0,871.0
504,361,False,-14,1158.0,559.0
505,361,False,-13,859.0,560.0
506,361,False,-12,1742.0,561.0
507,361,False,-11,6628.0,562.0
508,361,False,-10,2768.0,563.0
509,361,False,-9,2505.0,564.0
510,361,False,-8,1143.0,565.0
511,361,False,-7,2586.0,566.0
512,361,False,-6,966.0,567.0
513,361,False,-5,281.0,568.0
514,361,False,-4,550.0,569.0
515,361,False,-3,2917.0,570.0
516,361,False,-2,473.0,571.0
517,361,False,-1,496.0,572.0
518,361,False,0,956.0,573.0
519,361,False,1,762.0,574.0
520,361,False,2,921.0,575.0
521,361,False,3,248.0,576.0
522,361,False,4,266.0,577.0
523,361,False,5,163.0,578.0
524,361,False,6,85.0,579.0
525,361,False,7,56.0,580.0
526,361,False,8,106.0,581.0
527,361,False,9,89.0,582.0
528,361,False,10,164.0,583.0
529,361,False,11,125.0,584.0
530,361,False,12,211.0,585.0
531,361,False,13,71.0,586.0
532,361,True,-14,533.0,559.0
533,361,True,-13,433.0,560.0
534,361,True,-12,1007.0,561.0
535,361,True,-11,5156.0,562.0
536,361,True,-10,1565.0,563.0
537,361,True,-9,1472.0,564.0
538,361,True,-8,517.0,565.0
539,361,True,-7,1711.0,566.0
540,361,True,-6,409.0,567.0
541,361,True,-5,132.0,568.0
542,361,True,-4,504.0,569.0
543,361,True,-3,2327.0,570.0
544,361,True,-2,261.0,571.0
545,361,True,-1,253.0,572.0
546,361,True,0,409.0,573.0
547,361,True,1,323.0,574.0
548,361,True,2,431.0,575.0
549,361,True,3,89.0,576.0
550,361,True,4,92.0,577.0
551,361,True,5,72.0,578.0
552,361,True,6,22.0,579.0
553,361,True,7,20.0,580.0
554,361,True,8,43.0,581.0
555,361,True,9,34.0,582.0
556,361,True,10,70.0,583.0
557,361,True,11,53.0,584.0
558,361,True,12,77.0,585.0
559,361,True,13,41.0,586.0
560,362,False,-14,1311.0,559.0
561,362,False,-13,912.0,560.0
562,362,False,-12,2006.0,561.0
563,362,False,-11,2340.0,562.0
564,362,False,-10,2961.0,563.0
565,362,False,-9,4823.0,564.0
566,362,False,-8,2947.0,565.0
567,362,False,-7,2758.0,566.0
568,362,False,-6,3859.0,567.0
569,362,False,-5,2762.0,568.0
570,362,False,-4,3136.0,569.0
571,362,False,-3,2112.0,570.0
572,362,False,-2,1773.0,571.0
573,362,False,-1,1937.0,572.0
574,362,False,0,1582.0,573.0
575,362,False,1,2274.0,574.0
576,362,False,2,2846.0,575.0
577,362,False,3,745.0,576.0
578,362,False,4,4313.0,577.0
579,362,False,5,2250.0,578.0
580,362,False,6,473.0,579.0
581,362,False,7,680.0,580.0
582,362,False,8,1373.0,581.0
583,362,False,9,362.0,582.0
584,362,False,10,332.0,583.0
585,362,False,11,308.0,584.0
586,362,False,12,212.0,585.0
587,362,False,13,168.0,586.0
588,362,True,-14,579.0,559.0
