,unit_id,ever_treated,ts,gain_rate,time_period
0,1226,False,-14,0.0,337.0
1,1226,False,-13,0.0,338.0
2,1226,False,-12,0.0,339.0
3,1226,False,-11,0.0,340.0
4,1226,False,-10,0.0,341.0
5,1226,False,-9,0.0,342.0
6,1226,False,-8,0.0,343.0
7,1226,False,-7,0.0,344.0
8,1226,False,-6,0.0,345.0
9,1226,False,-5,0.0,346.0
10,1226,False,-4,0.0,347.0
11,1226,False,-3,0.0,348.0
12,1226,False,-2,0.0,349.0
13,1226,False,-1,0.0,350.0
14,1226,False,0,0.0,351.0
15,1226,False,1,1.0,352.0
16,1226,False,2,1.0,353.0
17,1226,False,3,0.0,354.0
18,1226,False,4,1.0,355.0
19,1226,False,5,1.0,356.0
20,1226,False,6,0.0,357.0
21,1226,False,7,0.0,358.0
22,1226,False,8,0.0,359.0
23,1226,False,9,0.0,360.0
24,1226,False,10,3.0,361.0
25,1226,False,11,1.0,362.0
26,1226,False,12,1.0,363.0
27,1226,False,13,0.0,364.0
28,1226,True,-14,0.0,337.0
29,1226,True,-13,0.0,338.0
30,1226,True,-12,0.0,339.0
31,1226,True,-11,0.0,340.0
32,1226,True,-10,0.0,341.0
33,1226,True,-9,0.0,342.0
34,1226,True,-8,0.0,343.0
35,1226,True,-7,0.0,344.0
36,1226,True,-6,0.0,345.0
37,1226,True,-5,0.0,346.0
38,1226,True,-4,0.0,347.0
39,1226,True,-3,0.0,348.0
40,1226,True,-2,0.0,349.0
41,1226,True,-1,0.0,350.0
42,1226,True,0,0.0,351.0
43,1226,True,1,0.0,352.0
44,1226,True,2,0.0,353.0
45,1226,True,3,0.0,354.0
46,1226,True,4,0.0,355.0
47,1226,True,5,0.0,356.0
48,1226,True,6,0.0,357.0
49,1226,True,7,0.0,358.0
50,1226,True,8,0.0,359.0
51,1226,True,9,0.0,360.0
52,1226,True,10,0.0,361.0
53,1226,True,11,0.0,362.0
54,1226,True,12,0.0,363.0
55,1226,True,13,0.0,364.0
56,1227,False,-14,0.0,337.0
57,1227,False,-13,0.0,338.0
58,1227,False,-12,0.0,339.0
59,1227,False,-11,0.0,340.0
60,1227,False,-10,1.0,341.0
