,unit_id,ever_treated,ts,gain_rate,time_period
0,0,False,-14,0.0,195.0
1,0,False,-13,0.0,196.0
2,0,False,-12,1.0,197.0
3,0,False,-11,0.0,198.0
4,0,False,-10,0.0,199.0
5,0,False,-9,0.0,200.0
6,0,False,-8,0.0,201.0
7,0,False,-7,0.0,202.0
8,0,False,-6,0.0,203.0
9,0,False,-5,0.0,204.0
10,0,False,-4,0.0,205.0
11,0,False,-3,0.0,206.0
12,0,False,-2,0.0,207.0
13,0,False,-1,0.0,208.0
14,0,False,0,0.0,209.0
15,0,False,1,0.0,210.0
16,0,False,2,1.0,211.0
17,0,False,3,0.0,212.0
18,0,False,4,0.0,213.0
19,0,False,5,0.0,214.0
20,0,False,6,0.0,215.0
21,0,False,7,0.0,216.0
22,0,False,8,0.0,217.0
23,0,False,9,0.0,218.0
24,0,False,10,0.0,219.0
25,0,False,11,0.0,220.0
26,0,False,12,0.0,221.0
27,0,False,13,0.0,222.0
28,0,True,-14,0.0,195.0
29,0,True,-13,0.0,196.0
30,0,True,-12,0.0,197.0
31,0,True,-11,0.0,198.0
32,0,True,-10,0.0,199.0
33,0,True,-9,0.0,200.0
34,0,True,-8,0.0,201.0
35,0,True,-7,0.0,202.0
36,0,True,-6,0.0,203.0
37,0,True,-5,0.0,204.0
38,0,True,-4,0.0,205.0
39,0,True,-3,0.0,206.0
40,0,True,-2,0.0,207.0
41,0,True,-1,0.0,208.0
42,0,True,0,0.0,209.0
43,0,True,1,0.0,210.0
44,0,True,2,0.0,211.0
45,0,True,3,0.0,212.0
46,0,True,4,0.0,213.0
47,0,True,5,0.0,214.0
48,0,True,6,0.0,215.0
49,0,True,7,0.0,216.0
50,0,True,8,0.0,217.0
51,0,True,9,0.0,218.0
52,0,True,10,0.0,219.0
53,0,True,11,0.0,220.0
54,0,True,12,0.0,221.0
55,0,True,13,0.0,222.0
56,1,False,-14,0.0,533.0
57,1,False,-13,14.0,534.0
58,1,False,-12,10.0,535.0
59,1,False,-11,6.0,536.0
60,1,False,-10,7.0,537.0
61,1,False,-9,7.0,538.0
62,1,False,-8,43.0,539.0
63,1,False,-7,18.0,540.0
64,1,False,-6,51.0,541.0
65,1,False,-5,36.0,542.0
66,1,False,-4,250.0,543.0
67,1,False,-3,82.0,544.0
68,1,False,-2,177.0,545.0
69,1,False,-1,68.0,546.0
70,1,False,0,163.0,547.0
71,1,False,1,55.0,548.0
72,1,False,2,62.0,549.0
73,1,False,3,62.0,550.0
74,1,False,4,408.0,551.0
75,1,False,5,645.0,552.0
76,1,False,6,344.0,553.0
77,1,False,7,129.0,554.0
78,1,False,8,105.0,555.0
79,1,False,9,110.0,556.0
80,1,False,10,48.0,557.0
81,1,False,11,55.0,558.0
82,1,False,12,68.0,559.0
83,1,False,13,15.0,560.0
84,1,True,-14,0.0,533.0
85,1,True,-13,0.0,534.0
86,1,True,-12,1.0,535.0
87,1,True,-11,1.0,536.0
88,1,True,-10,1.0,537.0
89,1,True,-9,0.0,538.0
90,1,True,-8,0.0,539.0
91,1,True,-7,2.0,540.0
92,1,True,-6,2.0,541.0
93,1,True,-5,0.0,542.0
94,1,True,-4,18.0,543.0
95,1,True,-3,18.0,544.0
