,unit_id,ever_treated,ts,gain_rate,time_period
0,0,False,-14,0.0,784.0
1,0,False,-13,0.0,785.0
2,0,False,-12,0.0,786.0
3,0,False,-11,0.0,787.0
4,0,False,-10,0.0,788.0
5,0,False,-9,0.0,789.0
6,0,False,-8,0.0,790.0
7,0,False,-7,0.0,791.0
8,0,False,-6,0.0,792.0
9,0,False,-5,0.0,793.0
10,0,False,-4,0.0,794.0
11,0,False,-3,0.0,795.0
12,0,False,-2,0.0,796.0
13,0,False,-1,1.0,797.0
14,0,False,0,4.0,798.0
15,0,False,1,0.0,799.0
16,0,False,2,0.0,800.0
17,0,False,3,0.0,801.0
18,0,False,4,0.0,802.0
19,0,False,5,0.0,803.0
20,0,False,6,0.0,804.0
21,0,False,7,0.0,805.0
22,0,False,8,0.0,806.0
23,0,False,9,0.0,807.0
24,0,False,10,0.0,808.0
25,0,False,11,0.0,809.0
26,0,False,12,0.0,810.0
27,0,False,13,0.0,811.0
28,0,True,-14,0.0,784.0
29,0,True,-13,0.0,785.0
30,0,True,-12,0.0,786.0
31,0,True,-11,0.0,787.0
32,0,True,-10,0.0,788.0
33,0,True,-9,0.0,789.0
34,0,True,-8,0.0,790.0
35,0,True,-7,0.0,791.0
36,0,True,-6,0.0,792.0
37,0,True,-5,0.0,793.0
38,0,True,-4,0.0,794.0
39,0,True,-3,0.0,795.0
40,0,True,-2,0.0,796.0
41,0,True,-1,0.0,797.0
42,0,True,0,0.0,798.0
43,0,True,1,0.0,799.0
44,0,True,2,0.0,800.0
45,0,True,3,0.0,801.0
46,0,True,4,0.0,802.0
47,0,True,5,0.0,803.0
48,0,True,6,0.0,804.0
49,0,True,7,0.0,805.0
50,0,True,8,0.0,806.0
51,0,True,9,0.0,807.0
52,0,True,10,0.0,808.0
53,0,True,11,0.0,809.0
54,0,True,12,0.0,810.0
55,0,True,13,0.0,811.0
56,1,False,-14,0.0,20.0
57,1,False,-13,3.0,21.0
58,1,False,-12,21.0,22.0
59,1,False,-11,7.0,23.0
60,1,False,-10,9.0,24.0
61,1,False,-9,17.0,25.0
62,1,False,-8,7.0,26.0
63,1,False,-7,6.0,27.0
64,1,False,-6,6.0,28.0
65,1,False,-5,4.0,29.0
66,1,False,-4,5.0,30.0
67,1,False,-3,2.0,31.0
68,1,False,-2,2.0,32.0
69,1,False,-1,2.0,33.0
70,1,False,0,10.0,34.0
71,1,False,1,0.0,35.0
72,1,False,2,6.0,36.0
73,1,False,3,5.0,37.0
74,1,False,4,4.0,38.0
75,1,False,5,4.0,39.0
76,1,False,6,15.0,40.0
77,1,False,7,10.0,41.0
78,1,False,8,10.0,42.0
79,1,False,9,7.0,43.0
80,1,False,10,6.0,44.0
81,1,False,11,7.0,45.0
82,1,False,12,9.0,46.0
83,1,False,13,14.0,47.0
84,1,True,-14,0.0,20.0
85,1,True,-13,4.0,21.0
86,1,True,-12,8.0,22.0
87,1,True,-11,2.0,23.0
88,1,True,-10,0.0,24.0
89,1,True,-9,9.0,25.0
90,1,True,-8,3.0,26.0
91,1,True,-7,6.0,27.0
92,1,True,-6,3.0,28.0
93,1,True,-5,3.0,29.0
94,1,True,-4,8.0,30.0
95,1,True,-3,1.0,31.0
96,1,True,-2,6.0,32.0
97,1,True,-1,2.0,33.0
98,1,True,0,10.0,34.0
99,1,True,1,0.0,35.0
100,1,True,2,2.0,36.0
101,1,True,3,3.0,37.0
102,1,True,4,0.0,38.0
103,1,True,5,0.0,39.0
104,1,True,6,0.0,40.0
105,1,True,7,1.0,41.0
106,1,True,8,0.0,42.0
107,1,True,9,4.0,43.0
108,1,True,10,0.0,44.0
109,1,True,11,1.0,45.0
110,1,True,12,1.0,46.0
111,1,True,13,3.0,47.0
112,2,False,-14,0.0,606.0
113,2,False,-13,50.0,607.0
114,2,False,-12,37.0,608.0
115,2,False,-11,50.0,609.0
116,2,False,-10,51.0,610.0
117,2,False,-9,61.0,611.0
118,2,False,-8,464.0,612.0
119,2,False,-7,90.0,613.0
120,2,False,-6,71.0,614.0
121,2,False,-5,333.0,615.0
122,2,False,-4,199.0,616.0
123,2,False,-3,75.0,617.0
124,2,False,-2,37.0,618.0
125,2,False,-1,56.0,619.0
126,2,False,0,324.0,620.0
127,2,False,1,80.0,621.0
128,2,False,2,47.0,622.0
129,2,False,3,36.0,623.0
130,2,False,4,57.0,624.0
131,2,False,5,928.0,625.0
132,2,False,6,235.0,626.0
133,2,False,7,267.0,627.0
134,2,False,8,60.0,628.0
135,2,False,9,99.0,629.0
136,2,False,10,41.0,630.0
137,2,False,11,72.0,631.0
138,2,False,12,61.0,632.0
139,2,False,13,63.0,633.0
140,2,True,-14,0.0,606.0
141,2,True,-13,9.0,607.0
142,2,True,-12,2.0,608.0
143,2,True,-11,3.0,609.0
144,2,True,-10,5.0,610.0
145,2,True,-9,9.0,611.0
146,2,True,-8,49.0,612.0
147,2,True,-7,11.0,613.0
148,2,True,-6,15.0,614.0
149,2,True,-5,58.0,615.0
150,2,True,-4,18.0,616.0
151,2,True,-3,12.0,617.0
