,unit_id,repost_created_at,ever_treated,ts,gain_rate,time_period
0,1,2023-04-29 02:48:24.039000,False,-14,0.0,-13.0
1,1,2023-04-29 02:48:24.039000,False,-13,0.0,-12.0
2,1,2023-04-29 02:48:24.039000,False,-12,0.0,-11.0
3,1,2023-04-29 02:48:24.039000,False,-11,0.0,-10.0
4,1,2023-04-29 02:48:24.039000,False,-10,0.0,-9.0
5,1,2023-04-29 02:48:24.039000,False,-9,0.0,-8.0
6,1,2023-04-29 02:48:24.039000,False,-8,0.0,-7.0
7,1,2023-04-29 02:48:24.039000,False,-7,0.0,-6.0
8,1,2023-04-29 02:48:24.039000,False,-6,0.0,-5.0
9,1,2023-04-29 02:48:24.039000,False,-5,0.0,-4.0
10,1,2023-04-29 02:48:24.039000,False,-4,0.0,-3.0
11,1,2023-04-29 02:48:24.039000,False,-3,0.0,-2.0
12,1,2023-04-29 02:48:24.039000,False,-2,139.0,-1.0
13,1,2023-04-29 02:48:24.039000,False,-1,296.0,0.0
14,1,2023-04-29 02:48:24.039000,False,0,134.0,1.0
15,1,2023-04-29 02:48:24.039000,False,1,125.0,2.0
16,1,2023-04-29 02:48:24.039000,False,2,174.0,3.0
17,1,2023-04-29 02:48:24.039000,False,3,80.0,4.0
18,1,2023-04-29 02:48:24.039000,False,4,57.0,5.0
19,1,2023-04-29 02:48:24.039000,False,5,111.0,6.0
20,1,2023-04-29 02:48:24.039000,False,6,72.0,7.0
21,1,2023-04-29 02:48:24.039000,False,7,67.0,8.0
22,1,2023-04-29 02:48:24.039000,False,8,42.0,9.0
23,1,2023-04-29 02:48:24.039000,False,9,77.0,10.0
24,1,2023-04-29 02:48:24.039000,False,10,72.0,11.0
25,1,2023-04-29 02:48:24.039000,False,11,71.0,12.0
26,1,2023-04-29 02:48:24.039000,False,12,98.0,13.0
27,1,2023-04-29 02:48:24.039000,False,13,137.0,14.0
28,1,2023-04-29 02:48:24.039000,True,-14,0.0,-13.0
29,1,2023-04-29 02:48:24.039000,True,-13,0.0,-12.0
30,1,2023-04-29 02:48:24.039000,True,-12,0.0,-11.0
31,1,2023-04-29 02:48:24.039000,True,-11,0.0,-10.0
32,1,2023-04-29 02:48:24.039000,True,-10,0.0,-9.0
33,1,2023-04-29 02:48:24.039000,True,-9,0.0,-8.0
34,1,2023-04-29 02:48:24.039000,True,-8,0.0,-7.0
35,1,2023-04-29 02:48:24.039000,True,-7,0.0,-6.0
36,1,2023-04-29 02:48:24.039000,True,-6,0.0,-5.0
37,1,2023-04-29 02:48:24.039000,True,-5,0.0,-4.0
38,1,2023-04-29 02:48:24.039000,True,-4,0.0,-3.0
39,1,2023-04-29 02:48:24.039000,True,-3,0.0,-2.0
40,1,2023-04-29 02:48:24.039000,True,-2,48.0,-1.0
41,1,2023-04-29 02:48:24.039000,True,-1,88.0,0.0
42,1,2023-04-29 02:48:24.039000,True,0,23.0,1.0
43,1,2023-04-29 02:48:24.039000,True,1,17.0,2.0
44,1,2023-04-29 02:48:24.039000,True,2,19.0,3.0
45,1,2023-04-29 02:48:24.039000,True,3,1.0,4.0
46,1,2023-04-29 02:48:24.039000,True,4,4.0,5.0
47,1,2023-04-29 02:48:24.039000,True,5,5.0,6.0
48,1,2023-04-29 02:48:24.039000,True,6,3.0,7.0
49,1,2023-04-29 02:48:24.039000,True,7,2.0,8.0
50,1,2023-04-29 02:48:24.039000,True,8,2.0,9.0
51,1,2023-04-29 02:48:24.039000,True,9,2.0,10.0
52,1,2023-04-29 02:48:24.039000,True,10,2.0,11.0
53,1,2023-04-29 02:48:24.039000,True,11,2.0,12.0
54,1,2023-04-29 02:48:24.039000,True,12,5.0,13.0
55,1,2023-04-29 02:48:24.039000,True,13,2.0,14.0
56,7,2024-11-06 21:44:37.775000,False,-14,0.0,553.0
57,7,2024-11-06 21:44:37.775000,False,-13,0.0,554.0
58,7,2024-11-06 21:44:37.775000,False,-12,0.0,555.0
59,7,2024-11-06 21:44:37.775000,False,-11,0.0,556.0
60,7,2024-11-06 21:44:37.775000,False,-10,0.0,557.0
61,7,2024-11-06 21:44:37.775000,False,-9,0.0,558.0
62,7,2024-11-06 21:44:37.775000,False,-8,0.0,559.0
63,7,2024-11-06 21:44:37.775000,False,-7,0.0,560.0
64,7,2024-11-06 21:44:37.775000,False,-6,0.0,561.0
65,7,2024-11-06 21:44:37.775000,False,-5,1.0,554.0
66,7,2024-11-06 21:44:37.775000,False,-4,0.0,563.0
67,7,2024-11-06 21:44:37.775000,False,-3,0.0,564.0
68,7,2024-11-06 21:44:37.775000,False,-2,2.0,557.0
69,7,2024-11-06 21:44:37.775000,False,-1,0.0,566.0
70,7,2024-11-06 21:44:37.775000,False,0,0.0,567.0
71,7,2024-11-06 21:44:37.775000,False,1,1.0,560.0
72,7,2024-11-06 21:44:37.775000,False,2,4.0,561.0
73,7,2024-11-06 21:44:37.775000,False,3,127.0,562.0
74,7,2024-11-06 21:44:37.775000,False,4,69.0,563.0
75,7,2024-11-06 21:44:37.775000,False,5,59.0,564.0
76,7,2024-11-06 21:44:37.775000,False,6,36.0,565.0
77,7,2024-11-06 21:44:37.775000,False,7,37.0,566.0
78,7,2024-11-06 21:44:37.775000,False,8,18.0,567.0
79,7,2024-11-06 21:44:37.775000,False,9,20.0,568.0
80,7,2024-11-06 21:44:37.775000,False,10,11.0,569.0
81,7,2024-11-06 21:44:37.775000,False,11,17.0,570.0
82,7,2024-11-06 21:44:37.775000,False,12,23.0,571.0
83,7,2024-11-06 21:44:37.775000,False,13,5.0,572.0
84,7,2024-11-06 21:44:37.775000,True,-14,0.0,553.0
85,7,2024-11-06 21:44:37.775000,True,-13,0.0,554.0
86,7,2024-11-06 21:44:37.775000,True,-12,0.0,555.0
87,7,2024-11-06 21:44:37.775000,True,-11,0.0,556.0
88,7,2024-11-06 21:44:37.775000,True,-10,0.0,557.0
89,7,2024-11-06 21:44:37.775000,True,-9,0.0,558.0
90,7,2024-11-06 21:44:37.775000,True,-8,0.0,559.0
91,7,2024-11-06 21:44:37.775000,True,-7,0.0,560.0
92,7,2024-11-06 21:44:37.775000,True,-6,0.0,561.0
93,7,2024-11-06 21:44:37.775000,True,-5,0.0,562.0
94,7,2024-11-06 21:44:37.775000,True,-4,0.0,563.0
95,7,2024-11-06 21:44:37.775000,True,-3,0.0,564.0
96,7,2024-11-06 21:44:37.775000,True,-2,0.0,565.0
97,7,2024-11-06 21:44:37.775000,True,-1,0.0,566.0
98,7,2024-11-06 21:44:37.775000,True,0,0.0,567.0
99,7,2024-11-06 21:44:37.775000,True,1,0.0,568.0
100,7,2024-11-06 21:44:37.775000,True,2,1.0,569.0
101,7,2024-11-06 21:44:37.775000,True,3,5.0,570.0
102,7,2024-11-06 21:44:37.775000,True,4,1.0,571.0
103,7,2024-11-06 21:44:37.775000,True,5,2.0,572.0
104,7,2024-11-06 21:44:37.775000,True,6,0.0,573.0
105,7,2024-11-06 21:44:37.775000,True,7,0.0,574.0
106,7,2024-11-06 21:44:37.775000,True,8,0.0,575.0
107,7,2024-11-06 21:44:37.775000,True,9,0.0,576.0
108,7,2024-11-06 21:44:37.775000,True,10,2.0,577.0
109,7,2024-11-06 21:44:37.775000,True,11,1.0,578.0
110,7,2024-11-06 21:44:37.775000,True,12,0.0,579.0
111,7,2024-11-06 21:44:37.775000,True,13,0.0,580.0
112,7,2024-11-14 21:51:39.567000,False,-14,0.0,553.0
113,7,2024-11-14 21:51:39.567000,False,-13,1.0,554.0
114,7,2024-11-14 21:51:39.567000,False,-12,0.0,555.0
115,7,2024-11-14 21:51:39.567000,False,-11,0.0,556.0
116,7,2024-11-14 21:51:39.567000,False,-10,2.0,557.0
117,7,2024-11-14 21:51:39.567000,False,-9,0.0,558.0
118,7,2024-11-14 21:51:39.567000,False,-8,0.0,559.0
119,7,2024-11-14 21:51:39.567000,False,-7,1.0,560.0
120,7,2024-11-14 21:51:39.567000,False,-6,4.0,561.0
121,7,2024-11-14 21:51:39.567000,False,-5,127.0,562.0
122,7,2024-11-14 21:51:39.567000,False,-4,66.0,563.0
123,7,2024-11-14 21:51:39.567000,False,-3,60.0,564.0
124,7,2024-11-14 21:51:39.567000,False,-2,35.0,565.0
125,7,2024-11-14 21:51:39.567000,False,-1,36.0,566.0
126,7,2024-11-14 21:51:39.567000,False,0,19.0,567.0
127,7,2024-11-14 21:51:39.567000,False,1,18.0,568.0
128,7,2024-11-14 21:51:39.567000,False,2,11.0,561.0
129,7,2024-11-14 21:51:39.567000,False,3,16.0,562.0
130,7,2024-11-14 21:51:39.567000,False,4,23.0,563.0
131,7,2024-11-14 21:51:39.567000,False,5,5.0,564.0
132,7,2024-11-14 21:51:39.567000,False,6,8.0,573.0
133,7,2024-11-14 21:51:39.567000,False,7,6.0,574.0
134,7,2024-11-14 21:51:39.567000,False,8,5.0,575.0
135,7,2024-11-14 21:51:39.567000,False,9,4.0,576.0
136,7,2024-11-14 21:51:39.567000,False,10,9.0,569.0
137,7,2024-11-14 21:51:39.567000,False,11,2.0,570.0
138,7,2024-11-14 21:51:39.567000,False,12,7.0,579.0
139,7,2024-11-14 21:51:39.567000,False,13,2.0,580.0
140,7,2024-11-14 21:51:39.567000,True,-14,0.0,553.0
141,7,2024-11-14 21:51:39.567000,True,-13,0.0,554.0
142,7,2024-11-14 21:51:39.567000,True,-12,0.0,555.0
143,7,2024-11-14 21:51:39.567000,True,-11,0.0,556.0
144,7,2024-11-14 21:51:39.567000,True,-10,0.0,557.0
145,7,2024-11-14 21:51:39.567000,True,-9,0.0,558.0
146,7,2024-11-14 21:51:39.567000,True,-8,0.0,559.0
147,7,2024-11-14 21:51:39.567000,True,-7,0.0,560.0
148,7,2024-11-14 21:51:39.567000,True,-6,1.0,561.0
149,7,2024-11-14 21:51:39.567000,True,-5,5.0,562.0
150,7,2024-11-14 21:51:39.567000,True,-4,4.0,563.0
151,7,2024-11-14 21:51:39.567000,True,-3,2.0,564.0
152,7,2024-11-14 21:51:39.567000,True,-2,0.0,565.0
153,7,2024-11-14 21:51:39.567000,True,-1,1.0,566.0
154,7,2024-11-14 21:51:39.567000,True,0,1.0,567.0
155,7,2024-11-14 21:51:39.567000,True,1,0.0,568.0
156,7,2024-11-14 21:51:39.567000,True,2,2.0,569.0
157,7,2024-11-14 21:51:39.567000,True,3,2.0,570.0
158,7,2024-11-14 21:51:39.567000,True,4,0.0,571.0
159,7,2024-11-14 21:51:39.567000,True,5,0.0,572.0
160,7,2024-11-14 21:51:39.567000,True,6,0.0,573.0
161,7,2024-11-14 21:51:39.567000,True,7,0.0,574.0
162,7,2024-11-14 21:51:39.567000,True,8,0.0,575.0
163,7,2024-11-14 21:51:39.567000,True,9,0.0,576.0
164,7,2024-11-14 21:51:39.567000,True,10,0.0,577.0
165,7,2024-11-14 21:51:39.567000,True,11,0.0,578.0
166,7,2024-11-14 21:51:39.567000,True,12,1.0,579.0
167,7,2024-11-14 21:51:39.567000,True,13,0.0,580.0
168,9,2024-11-20 20:48:10.422000,False,-14,0.0,687.0
169,9,2024-11-20 20:48:10.422000,False,-13,1.0,560.0
170,9,2024-11-20 20:48:10.422000,False,-12,3.0,561.0
171,9,2024-11-20 20:48:10.422000,False,-11,3.0,562.0
172,9,2024-11-20 20:48:10.422000,False,-10,1.0,563.0
173,9,2024-11-20 20:48:10.422000,False,-9,2.0,564.0
174,9,2024-11-20 20:48:10.422000,False,-8,2.0,565.0
175,9,2024-11-20 20:48:10.422000,False,-7,3.0,566.0
176,9,2024-11-20 20:48:10.422000,False,-6,2.0,567.0
177,9,2024-11-20 20:48:10.422000,False,-5,1.0,568.0
178,9,2024-11-20 20:48:10.422000,False,-4,6.0,569.0
