,unit_id,ever_treated,ts,gain_rate,time_period
0,0,False,-14,79.0,587.0
1,0,False,-13,51.0,588.0
2,0,False,-12,56.0,589.0
3,0,False,-11,47.0,590.0
4,0,False,-10,121.0,591.0
5,0,False,-9,69.0,592.0
6,0,False,-8,74.0,593.0
7,0,False,-7,60.0,594.0
8,0,False,-6,124.0,595.0
9,0,False,-5,165.0,596.0
10,0,False,-4,79.0,597.0
11,0,False,-3,86.0,598.0
12,0,False,-2,84.0,599.0
13,0,False,-1,122.0,600.0
14,0,False,0,720.0,601.0
15,0,False,1,293.0,602.0
16,0,False,2,362.0,603.0
17,0,False,3,0.0,604.0
18,0,False,4,0.0,605.0
19,0,False,5,0.0,606.0
20,0,False,6,0.0,607.0
21,0,False,7,0.0,608.0
22,0,False,8,0.0,609.0
23,0,False,9,0.0,610.0
24,0,False,10,0.0,611.0
25,0,False,11,0.0,612.0
26,0,False,12,0.0,613.0
27,0,False,13,0.0,614.0
28,0,True,-14,2.0,587.0
29,0,True,-13,4.0,588.0
30,0,True,-12,2.0,589.0
31,0,True,-11,3.0,590.0
32,0,True,-10,7.0,591.0
33,0,True,-9,6.0,592.0
34,0,True,-8,5.0,593.0
35,0,True,-7,3.0,594.0
36,0,True,-6,3.0,595.0
37,0,True,-5,11.0,596.0
38,0,True,-4,3.0,597.0
39,0,True,-3,2.0,598.0
40,0,True,-2,2.0,599.0
41,0,True,-1,7.0,600.0
42,0,True,0,41.0,601.0
43,0,True,1,10.0,602.0
44,0,True,2,13.0,603.0
45,0,True,3,0.0,604.0
46,0,True,4,0.0,605.0
47,0,True,5,0.0,606.0
48,0,True,6,0.0,607.0
49,0,True,7,0.0,608.0
50,0,True,8,0.0,609.0
51,0,True,9,0.0,610.0
52,0,True,10,0.0,611.0
53,0,True,11,0.0,612.0
54,0,True,12,0.0,613.0
55,0,True,13,0.0,614.0
56,1,False,-14,2.0,17.0
57,1,False,-13,2.0,18.0
58,1,False,-12,3.0,19.0
59,1,False,-11,1.0,20.0
60,1,False,-10,2.0,21.0
61,1,False,-9,4.0,22.0
62,1,False,-8,3.0,23.0
63,1,False,-7,1.0,24.0
64,1,False,-6,0.0,25.0
65,1,False,-5,1.0,26.0
66,1,False,-4,5.0,27.0
67,1,False,-3,4.0,28.0
68,1,False,-2,3.0,29.0
69,1,False,-1,0.0,30.0
