,unit_id,ever_treated,ts,gain_rate,time_period
0,0,False,-14,0.0,0.0
1,0,False,-13,0.0,1.0
2,0,False,-12,82.0,2.0
3,0,False,-11,39.0,3.0
4,0,False,-10,62.0,4.0
5,0,False,-9,67.0,5.0
6,0,False,-8,79.0,6.0
7,0,False,-7,27.0,7.0
8,0,False,-6,26.0,8.0
9,0,False,-5,14.0,9.0
10,0,False,-4,38.0,10.0
11,0,False,-3,64.0,11.0
12,0,False,-2,73.0,12.0
13,0,False,-1,53.0,13.0
14,0,False,0,62.0,14.0
15,0,False,1,76.0,15.0
16,0,False,2,39.0,16.0
17,0,False,3,27.0,17.0
18,0,False,4,54.0,18.0
19,0,False,5,26.0,19.0
20,0,False,6,24.0,20.0
21,0,False,7,13.0,21.0
22,0,False,8,8.0,22.0
23,0,False,9,19.0,23.0
24,0,False,10,22.0,24.0
25,0,False,11,21.0,25.0
26,0,False,12,19.0,26.0
27,0,False,13,31.0,27.0
28,0,True,-14,0.0,0.0
29,0,True,-13,0.0,1.0
30,0,True,-12,36.0,2.0
31,0,True,-11,10.0,3.0
32,0,True,-10,16.0,4.0
33,0,True,-9,12.0,5.0
34,0,True,-8,29.0,6.0
35,0,True,-7,6.0,7.0
36,0,True,-6,9.0,8.0
37,0,True,-5,8.0,9.0
38,0,True,-4,22.0,10.0
39,0,True,-3,21.0,11.0
40,0,True,-2,19.0,12.0
41,0,True,-1,12.0,13.0
42,0,True,0,17.0,14.0
43,0,True,1,21.0,15.0
44,0,True,2,7.0,16.0
45,0,True,3,2.0,17.0
46,0,True,4,9.0,18.0
47,0,True,5,2.0,19.0
48,0,True,6,3.0,20.0
49,0,True,7,1.0,21.0
50,0,True,8,3.0,22.0
51,0,True,9,5.0,23.0
52,0,True,10,3.0,24.0
53,0,True,11,1.0,25.0
54,0,True,12,2.0,26.0
55,0,True,13,4.0,27.0
56,1,False,-14,4.0,582.0
57,1,False,-13,0.0,583.0
58,1,False,-12,1.0,584.0
59,1,False,-11,1.0,585.0
60,1,False,-10,7.0,586.0
61,1,False,-9,5.0,587.0
62,1,False,-8,3.0,588.0
63,1,False,-7,1.0,589.0
64,1,False,-6,4.0,590.0
65,1,False,-5,4.0,591.0
66,1,False,-4,3.0,592.0
67,1,False,-3,0.0,593.0
68,1,False,-2,2.0,594.0
69,1,False,-1,0.0,595.0
70,1,False,0,4.0,596.0
71,1,False,1,0.0,597.0
72,1,False,2,0.0,598.0
73,1,False,3,1.0,599.0
74,1,False,4,1.0,600.0
75,1,False,5,1.0,601.0
76,1,False,6,2.0,602.0
77,1,False,7,12.0,603.0
78,1,False,8,5.0,604.0
79,1,False,9,2.0,605.0
80,1,False,10,1.0,606.0
81,1,False,11,2.0,607.0
82,1,False,12,10.0,608.0
83,1,False,13,8.0,609.0
84,1,True,-14,0.0,582.0
85,1,True,-13,1.0,583.0
86,1,True,-12,0.0,584.0
87,1,True,-11,1.0,585.0
88,1,True,-10,2.0,586.0
89,1,True,-9,2.0,587.0
90,1,True,-8,2.0,588.0
91,1,True,-7,0.0,589.0
92,1,True,-6,2.0,590.0
93,1,True,-5,0.0,591.0
94,1,True,-4,0.0,592.0
95,1,True,-3,0.0,593.0
96,1,True,-2,0.0,594.0
97,1,True,-1,0.0,595.0
98,1,True,0,6.0,596.0
99,1,True,1,1.0,597.0
100,1,True,2,0.0,598.0
101,1,True,3,0.0,599.0
102,1,True,4,3.0,600.0
103,1,True,5,0.0,601.0
104,1,True,6,0.0,602.0
105,1,True,7,1.0,603.0
106,1,True,8,0.0,604.0
107,1,True,9,0.0,605.0
108,1,True,10,1.0,606.0
109,1,True,11,0.0,607.0
110,1,True,12,4.0,608.0
111,1,True,13,1.0,609.0
112,3,False,-14,0.0,-3.0
113,3,False,-13,0.0,-2.0
114,3,False,-12,228.0,-1.0
115,3,False,-11,278.0,0.0
116,3,False,-10,95.0,1.0
117,3,False,-9,116.0,2.0
118,3,False,-8,152.0,3.0
119,3,False,-7,64.0,4.0
120,3,False,-6,51.0,5.0
121,3,False,-5,96.0,6.0
