,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,-13.0,0,1,0.0,0.0,-14,10000.0
1,-12.0,0,1,0.0,0.0,-13,10000.0
2,-11.0,0,1,0.0,0.0,-12,10000.0
3,-10.0,0,1,0.0,0.0,-11,10000.0
4,-9.0,0,1,0.0,0.0,-10,10000.0
5,-8.0,0,1,0.0,0.0,-9,10000.0
6,-7.0,0,1,0.0,0.0,-8,10000.0
7,-6.0,0,1,0.0,0.0,-7,10000.0
8,-5.0,0,1,0.0,0.0,-6,10000.0
9,-4.0,0,1,0.0,0.0,-5,10000.0
10,-3.0,0,1,0.0,0.0,-4,10000.0
11,-2.0,0,1,0.0,0.0,-3,10000.0
12,-1.0,0,1,48.0,139.0,-2,10000.0
13,0.0,0,1,88.0,296.0,-1,10000.0
14,1.0,0,1,23.0,134.0,0,10000.0
15,2.0,0,1,17.0,125.0,1,10000.0
16,3.0,0,1,19.0,174.0,2,10000.0
17,4.0,0,1,1.0,80.0,3,10000.0
18,5.0,0,1,4.0,57.0,4,10000.0
19,6.0,0,1,5.0,111.0,5,10000.0
20,7.0,0,1,3.0,72.0,6,10000.0
21,8.0,0,1,2.0,67.0,7,10000.0
22,9.0,0,1,2.0,42.0,8,10000.0
23,10.0,0,1,2.0,77.0,9,10000.0
24,11.0,0,1,2.0,72.0,10,10000.0
25,12.0,0,1,2.0,71.0,11,10000.0
26,13.0,0,1,5.0,98.0,12,10000.0
27,14.0,0,1,2.0,137.0,13,10000.0
28,553.0,0,7,0.0,0.0,-14,10000.0
29,554.0,0,7,0.0,0.0,-13,10000.0
30,555.0,0,7,0.0,0.0,-12,10000.0
31,556.0,0,7,0.0,0.0,-11,10000.0
32,557.0,0,7,0.0,0.0,-10,10000.0
33,558.0,0,7,0.0,0.0,-9,10000.0
34,559.0,0,7,0.0,0.0,-8,10000.0
35,560.0,0,7,0.0,0.0,-7,10000.0
36,561.0,0,7,0.0,0.0,-6,10000.0
37,554.0,0,7,0.0,1.0,-5,10000.0
38,563.0,0,7,0.0,0.0,-4,10000.0
39,564.0,0,7,0.0,0.0,-3,10000.0
40,557.0,0,7,0.0,2.0,-2,10000.0
41,566.0,0,7,0.0,0.0,-1,10000.0
42,567.0,0,7,0.0,0.0,0,10000.0
43,560.0,0,7,0.0,1.0,1,10000.0
44,561.0,0,7,1.0,4.0,2,10000.0
45,562.0,0,7,5.0,127.0,3,10000.0
46,563.0,0,7,1.0,69.0,4,10000.0
47,564.0,0,7,2.0,59.0,5,10000.0
48,565.0,0,7,0.0,36.0,6,10000.0
49,566.0,0,7,0.0,37.0,7,10000.0
50,567.0,0,7,0.0,18.0,8,10000.0
51,568.0,0,7,0.0,20.0,9,10000.0
52,569.0,0,7,2.0,11.0,10,10000.0
53,570.0,0,7,1.0,17.0,11,10000.0
54,571.0,0,7,0.0,23.0,12,10000.0
55,572.0,0,7,0.0,5.0,13,10000.0
56,553.0,0,7,0.0,0.0,-14,10000.0
57,554.0,0,7,0.0,1.0,-13,10000.0
58,555.0,0,7,0.0,0.0,-12,10000.0
59,556.0,0,7,0.0,0.0,-11,10000.0
60,557.0,0,7,0.0,2.0,-10,10000.0
61,558.0,0,7,0.0,0.0,-9,10000.0
62,559.0,0,7,0.0,0.0,-8,10000.0
63,560.0,0,7,0.0,1.0,-7,10000.0
64,561.0,0,7,1.0,4.0,-6,10000.0
65,562.0,0,7,5.0,127.0,-5,10000.0
66,563.0,0,7,4.0,66.0,-4,10000.0
67,564.0,0,7,2.0,60.0,-3,10000.0
68,565.0,0,7,0.0,35.0,-2,10000.0
69,566.0,0,7,1.0,36.0,-1,10000.0
70,567.0,0,7,1.0,19.0,0,10000.0
71,568.0,0,7,0.0,18.0,1,10000.0
72,561.0,0,7,2.0,11.0,2,10000.0
73,562.0,0,7,2.0,16.0,3,10000.0
74,563.0,0,7,0.0,23.0,4,10000.0
75,564.0,0,7,0.0,5.0,5,10000.0
76,573.0,0,7,0.0,8.0,6,10000.0
77,574.0,0,7,0.0,6.0,7,10000.0
78,575.0,0,7,0.0,5.0,8,10000.0
79,576.0,0,7,0.0,4.0,9,10000.0
80,569.0,0,7,0.0,9.0,10,10000.0
81,570.0,0,7,0.0,2.0,11,10000.0
82,579.0,0,7,1.0,7.0,12,10000.0
83,580.0,0,7,0.0,2.0,13,10000.0
84,687.0,0,9,0.0,0.0,-14,10000.0
85,560.0,0,9,0.0,1.0,-13,10000.0
86,561.0,0,9,0.0,3.0,-12,10000.0
87,562.0,0,9,0.0,3.0,-11,10000.0
88,563.0,0,9,0.0,1.0,-10,10000.0
89,564.0,0,9,0.0,2.0,-9,10000.0
90,565.0,0,9,0.0,2.0,-8,10000.0
91,566.0,0,9,0.0,3.0,-7,10000.0
92,567.0,0,9,0.0,2.0,-6,10000.0
93,568.0,0,9,0.0,1.0,-5,10000.0
94,569.0,0,9,0.0,6.0,-4,10000.0
95,570.0,0,9,0.0,4.0,-3,10000.0
96,571.0,0,9,0.0,1.0,-2,10000.0
97,572.0,0,9,0.0,3.0,-1,10000.0
98,573.0,0,9,1.0,2.0,0,10000.0
99,574.0,0,9,0.0,1.0,1,10000.0
100,575.0,0,9,0.0,5.0,2,10000.0
101,576.0,0,9,1.0,2.0,3,10000.0
102,705.0,0,9,0.0,0.0,4,10000.0
103,578.0,0,9,1.0,3.0,5,10000.0
104,579.0,0,9,0.0,3.0,6,10000.0
105,580.0,0,9,0.0,4.0,7,10000.0
106,581.0,0,9,2.0,5.0,8,10000.0
107,582.0,0,9,0.0,4.0,9,10000.0
108,711.0,0,9,0.0,0.0,10,10000.0
109,584.0,0,9,0.0,4.0,11,10000.0
110,585.0,0,9,0.0,4.0,12,10000.0
111,586.0,0,9,0.0,1.0,13,10000.0
112,687.0,0,9,0.0,0.0,-14,10000.0
113,688.0,0,9,0.0,0.0,-13,10000.0
114,689.0,0,9,0.0,0.0,-12,10000.0
115,690.0,0,9,0.0,0.0,-11,10000.0
116,691.0,0,9,0.0,0.0,-10,10000.0
117,692.0,0,9,1.0,1.0,-9,10000.0
118,693.0,0,9,0.0,2.0,-8,10000.0
119,694.0,0,9,0.0,0.0,-7,10000.0
120,695.0,0,9,0.0,0.0,-6,10000.0
121,696.0,0,9,0.0,0.0,-5,10000.0
122,697.0,0,9,0.0,0.0,-4,10000.0
123,698.0,0,9,1.0,0.0,-3,10000.0
