,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,-9.0,0,0,0.0,0.0,-14,5.0
1,-8.0,0,0,0.0,0.0,-13,5.0
2,-7.0,0,0,0.0,0.0,-12,5.0
3,-6.0,0,0,0.0,0.0,-11,5.0
4,-5.0,0,0,0.0,0.0,-10,5.0
5,-4.0,0,0,0.0,0.0,-9,5.0
6,-3.0,0,0,0.0,0.0,-8,5.0
7,-2.0,0,0,0.0,0.0,-7,5.0
8,-1.0,0,0,0.0,0.0,-6,5.0
9,0.0,0,0,0.0,0.0,-5,5.0
10,1.0,0,0,0.0,0.0,-4,5.0
11,2.0,0,0,12.0,21.0,-3,5.0
12,3.0,0,0,8.0,10.0,-2,5.0
13,4.0,0,0,7.0,15.0,-1,5.0
14,5.0,1,0,31.0,67.0,0,5.0
15,6.0,1,0,7.0,22.0,1,5.0
16,7.0,1,0,3.0,12.0,2,5.0
17,8.0,1,0,1.0,12.0,3,5.0
18,9.0,1,0,2.0,11.0,4,5.0
19,10.0,1,0,2.0,6.0,5,5.0
20,11.0,1,0,0.0,10.0,6,5.0
21,12.0,1,0,3.0,10.0,7,5.0
22,13.0,1,0,3.0,13.0,8,5.0
23,14.0,1,0,2.0,12.0,9,5.0
24,15.0,1,0,1.0,13.0,10,5.0
25,16.0,1,0,0.0,4.0,11,5.0
26,17.0,1,0,1.0,8.0,12,5.0
27,18.0,1,0,0.0,3.0,13,5.0
28,644.0,0,6,7.0,35.0,-14,658.0
29,645.0,0,6,7.0,59.0,-13,658.0
30,646.0,0,6,4.0,56.0,-12,658.0
31,647.0,0,6,7.0,131.0,-11,658.0
32,648.0,0,6,18.0,117.0,-10,658.0
33,649.0,0,6,17.0,93.0,-9,658.0
34,650.0,0,6,45.0,199.0,-8,658.0
35,651.0,0,6,15.0,82.0,-7,658.0
36,652.0,0,6,12.0,55.0,-6,658.0
37,653.0,0,6,14.0,69.0,-5,658.0
38,654.0,0,6,2.0,38.0,-4,658.0
39,655.0,0,6,10.0,45.0,-3,658.0
40,656.0,0,6,6.0,44.0,-2,658.0
41,657.0,0,6,4.0,29.0,-1,658.0
42,658.0,1,6,12.0,25.0,0,658.0
43,659.0,1,6,6.0,55.0,1,658.0
44,660.0,1,6,5.0,24.0,2,658.0
45,661.0,1,6,4.0,29.0,3,658.0
46,662.0,1,6,5.0,81.0,4,658.0
47,663.0,1,6,4.0,43.0,5,658.0
48,664.0,1,6,10.0,66.0,6,658.0
49,665.0,1,6,22.0,88.0,7,658.0
50,666.0,1,6,17.0,102.0,8,658.0
51,667.0,1,6,6.0,40.0,9,658.0
52,668.0,1,6,2.0,39.0,10,658.0
53,669.0,1,6,1.0,40.0,11,658.0
54,670.0,1,6,5.0,46.0,12,658.0
55,671.0,1,6,5.0,43.0,13,658.0
56,527.0,0,13,0.0,1.0,-14,541.0
57,528.0,0,13,0.0,3.0,-13,541.0
58,529.0,0,13,0.0,1.0,-12,541.0
59,530.0,0,13,0.0,0.0,-11,541.0
60,531.0,0,13,0.0,2.0,-10,541.0
61,532.0,0,13,0.0,1.0,-9,541.0
62,533.0,0,13,0.0,0.0,-8,541.0
63,534.0,0,13,0.0,2.0,-7,541.0
64,535.0,0,13,0.0,1.0,-6,541.0
65,536.0,0,13,0.0,0.0,-5,541.0
66,537.0,0,13,0.0,1.0,-4,541.0
67,538.0,0,13,0.0,1.0,-3,541.0
68,539.0,0,13,0.0,1.0,-2,541.0
69,540.0,0,13,0.0,0.0,-1,541.0
70,541.0,1,13,2.0,2.0,0,541.0
71,542.0,1,13,0.0,1.0,1,541.0
72,543.0,1,13,1.0,0.0,2,541.0
73,544.0,1,13,0.0,0.0,3,541.0
74,545.0,1,13,0.0,1.0,4,541.0
75,546.0,1,13,0.0,0.0,5,541.0
76,547.0,1,13,0.0,4.0,6,541.0
77,548.0,1,13,0.0,1.0,7,541.0
78,549.0,1,13,0.0,0.0,8,541.0
79,550.0,1,13,0.0,1.0,9,541.0
80,551.0,1,13,0.0,0.0,10,541.0
81,552.0,1,13,0.0,0.0,11,541.0
82,553.0,1,13,1.0,2.0,12,541.0
83,554.0,1,13,1.0,1.0,13,541.0
84,685.0,0,14,40.0,240.0,-14,699.0
85,686.0,0,14,12.0,129.0,-13,699.0
86,687.0,0,14,64.0,455.0,-12,699.0
87,688.0,0,14,228.0,2881.0,-11,699.0
88,689.0,0,14,401.0,4317.0,-10,699.0
89,690.0,0,14,246.0,2491.0,-9,699.0
90,691.0,0,14,68.0,499.0,-8,699.0
91,692.0,0,14,111.0,1087.0,-7,699.0
92,693.0,0,14,63.0,601.0,-6,699.0
93,694.0,0,14,8.0,166.0,-5,699.0
94,695.0,0,14,28.0,372.0,-4,699.0
95,696.0,0,14,12.0,197.0,-3,699.0
