,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,755.0,0,1,0.0,0.0,-14,769.0
1,756.0,0,1,0.0,0.0,-13,769.0
2,757.0,0,1,0.0,0.0,-12,769.0
3,758.0,0,1,0.0,0.0,-11,769.0
4,759.0,0,1,0.0,0.0,-10,769.0
5,760.0,0,1,0.0,0.0,-9,769.0
6,761.0,0,1,0.0,0.0,-8,769.0
7,762.0,0,1,0.0,0.0,-7,769.0
8,763.0,0,1,0.0,0.0,-6,769.0
9,764.0,0,1,0.0,0.0,-5,769.0
10,765.0,0,1,0.0,0.0,-4,769.0
11,766.0,0,1,0.0,0.0,-3,769.0
12,767.0,0,1,0.0,0.0,-2,769.0
13,768.0,0,1,0.0,0.0,-1,769.0
14,769.0,1,1,0.0,0.0,0,769.0
15,770.0,1,1,0.0,2.0,1,769.0
16,771.0,1,1,0.0,0.0,2,769.0
17,772.0,1,1,0.0,0.0,3,769.0
18,773.0,1,1,0.0,0.0,4,769.0
19,774.0,1,1,0.0,0.0,5,769.0
20,775.0,1,1,0.0,0.0,6,769.0
21,776.0,1,1,0.0,0.0,7,769.0
22,777.0,1,1,0.0,0.0,8,769.0
23,778.0,1,1,0.0,0.0,9,769.0
24,779.0,1,1,0.0,0.0,10,769.0
25,780.0,1,1,0.0,0.0,11,769.0
26,781.0,1,1,0.0,0.0,12,769.0
27,782.0,1,1,0.0,0.0,13,769.0
28,554.0,0,2,293.0,2186.0,-14,568.0
29,555.0,0,2,232.0,1958.0,-13,568.0
30,556.0,0,2,391.0,2189.0,-12,568.0
31,557.0,0,2,207.0,1159.0,-11,568.0
32,558.0,0,2,177.0,1171.0,-10,568.0
33,559.0,0,2,53.0,596.0,-9,568.0
34,560.0,0,2,65.0,576.0,-8,568.0
35,561.0,0,2,195.0,901.0,-7,568.0
36,562.0,0,2,182.0,764.0,-6,568.0
37,563.0,0,2,125.0,648.0,-5,568.0
38,564.0,0,2,109.0,587.0,-4,568.0
39,565.0,0,2,43.0,403.0,-3,568.0
40,566.0,0,2,56.0,405.0,-2,568.0
41,567.0,0,2,64.0,501.0,-1,568.0
42,568.0,1,2,71.0,277.0,0,568.0
43,569.0,1,2,58.0,189.0,1,568.0
44,570.0,1,2,24.0,170.0,2,568.0
45,571.0,1,2,68.0,304.0,3,568.0
46,572.0,1,2,78.0,270.0,4,568.0
47,573.0,1,2,262.0,467.0,5,568.0
48,574.0,1,2,48.0,183.0,6,568.0
49,575.0,1,2,45.0,160.0,7,568.0
50,576.0,1,2,26.0,212.0,8,568.0
51,577.0,1,2,16.0,89.0,9,568.0
52,578.0,1,2,8.0,80.0,10,568.0
53,579.0,1,2,13.0,59.0,11,568.0
54,580.0,1,2,9.0,116.0,12,568.0
55,581.0,1,2,19.0,149.0,13,568.0
56,540.0,0,3,0.0,7.0,-14,554.0
57,541.0,0,3,4.0,9.0,-13,554.0
58,542.0,0,3,0.0,5.0,-12,554.0
59,543.0,0,3,4.0,17.0,-11,554.0
60,544.0,0,3,3.0,14.0,-10,554.0
61,545.0,0,3,2.0,34.0,-9,554.0
62,546.0,0,3,110.0,617.0,-8,554.0
63,547.0,0,3,34.0,211.0,-7,554.0
