,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,587.0,0,0,2.0,79.0,-14,601.0
1,588.0,0,0,4.0,51.0,-13,601.0
2,589.0,0,0,2.0,56.0,-12,601.0
3,590.0,0,0,3.0,47.0,-11,601.0
4,591.0,0,0,7.0,121.0,-10,601.0
5,592.0,0,0,6.0,69.0,-9,601.0
6,593.0,0,0,5.0,74.0,-8,601.0
7,594.0,0,0,3.0,60.0,-7,601.0
8,595.0,0,0,3.0,124.0,-6,601.0
9,596.0,0,0,11.0,165.0,-5,601.0
10,597.0,0,0,3.0,79.0,-4,601.0
11,598.0,0,0,2.0,86.0,-3,601.0
12,599.0,0,0,2.0,84.0,-2,601.0
13,600.0,0,0,7.0,122.0,-1,601.0
14,601.0,1,0,41.0,720.0,0,601.0
15,602.0,1,0,10.0,293.0,1,601.0
16,603.0,1,0,13.0,362.0,2,601.0
17,604.0,1,0,0.0,0.0,3,601.0
18,605.0,1,0,0.0,0.0,4,601.0
19,606.0,1,0,0.0,0.0,5,601.0
20,607.0,1,0,0.0,0.0,6,601.0
21,608.0,1,0,0.0,0.0,7,601.0
22,609.0,1,0,0.0,0.0,8,601.0
23,610.0,1,0,0.0,0.0,9,601.0
24,611.0,1,0,0.0,0.0,10,601.0
25,612.0,1,0,0.0,0.0,11,601.0
26,613.0,1,0,0.0,0.0,12,601.0
27,614.0,1,0,0.0,0.0,13,601.0
28,17.0,0,1,0.0,2.0,-14,31.0
29,18.0,0,1,1.0,2.0,-13,31.0
30,19.0,0,1,0.0,3.0,-12,31.0
31,20.0,0,1,1.0,1.0,-11,31.0
32,21.0,0,1,0.0,2.0,-10,31.0
33,22.0,0,1,0.0,4.0,-9,31.0
34,23.0,0,1,0.0,3.0,-8,31.0
35,24.0,0,1,1.0,1.0,-7,31.0
36,25.0,0,1,0.0,0.0,-6,31.0
37,26.0,0,1,1.0,1.0,-5,31.0
38,27.0,0,1,0.0,5.0,-4,31.0
39,28.0,0,1,0.0,4.0,-3,31.0
40,29.0,0,1,0.0,3.0,-2,31.0
41,30.0,0,1,1.0,0.0,-1,31.0
42,31.0,1,1,0.0,7.0,0,31.0
43,32.0,1,1,0.0,2.0,1,31.0
44,33.0,1,1,1.0,5.0,2,31.0
45,34.0,1,1,1.0,0.0,3,31.0
46,35.0,1,1,0.0,8.0,4,31.0
47,36.0,1,1,1.0,9.0,5,31.0
48,37.0,1,1,1.0,2.0,6,31.0
49,38.0,1,1,0.0,4.0,7,31.0
50,39.0,1,1,0.0,1.0,8,31.0
51,40.0,1,1,0.0,3.0,9,31.0
52,41.0,1,1,0.0,4.0,10,31.0
53,42.0,1,1,0.0,4.0,11,31.0
54,43.0,1,1,0.0,4.0,12,31.0
55,44.0,1,1,0.0,4.0,13,31.0
56,807.0,0,2,1.0,2.0,-14,821.0
57,808.0,0,2,0.0,0.0,-13,821.0
58,809.0,0,2,0.0,2.0,-12,821.0
59,810.0,0,2,0.0,2.0,-11,821.0
60,811.0,0,2,0.0,1.0,-10,821.0
61,812.0,0,2,0.0,6.0,-9,821.0
62,813.0,0,2,3.0,9.0,-8,821.0
63,814.0,0,2,0.0,4.0,-7,821.0
