,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,0.0,0,0,0.0,0.0,-14,14.0
1,1.0,0,0,0.0,0.0,-13,14.0
2,2.0,0,0,36.0,82.0,-12,14.0
3,3.0,0,0,10.0,39.0,-11,14.0
4,4.0,0,0,16.0,62.0,-10,14.0
5,5.0,0,0,12.0,67.0,-9,14.0
6,6.0,0,0,29.0,79.0,-8,14.0
7,7.0,0,0,6.0,27.0,-7,14.0
8,8.0,0,0,9.0,26.0,-6,14.0
9,9.0,0,0,8.0,14.0,-5,14.0
10,10.0,0,0,22.0,38.0,-4,14.0
11,11.0,0,0,21.0,64.0,-3,14.0
12,12.0,0,0,19.0,73.0,-2,14.0
13,13.0,0,0,12.0,53.0,-1,14.0
14,14.0,1,0,17.0,62.0,0,14.0
15,15.0,1,0,21.0,76.0,1,14.0
16,16.0,1,0,7.0,39.0,2,14.0
17,17.0,1,0,2.0,27.0,3,14.0
18,18.0,1,0,9.0,54.0,4,14.0
19,19.0,1,0,2.0,26.0,5,14.0
20,20.0,1,0,3.0,24.0,6,14.0
21,21.0,1,0,1.0,13.0,7,14.0
22,22.0,1,0,3.0,8.0,8,14.0
23,23.0,1,0,5.0,19.0,9,14.0
24,24.0,1,0,3.0,22.0,10,14.0
25,25.0,1,0,1.0,21.0,11,14.0
26,26.0,1,0,2.0,19.0,12,14.0
27,27.0,1,0,4.0,31.0,13,14.0
28,582.0,0,1,0.0,4.0,-14,596.0
29,583.0,0,1,1.0,0.0,-13,596.0
30,584.0,0,1,0.0,1.0,-12,596.0
31,585.0,0,1,1.0,1.0,-11,596.0
32,586.0,0,1,2.0,7.0,-10,596.0
33,587.0,0,1,2.0,5.0,-9,596.0
34,588.0,0,1,2.0,3.0,-8,596.0
35,589.0,0,1,0.0,1.0,-7,596.0
36,590.0,0,1,2.0,4.0,-6,596.0
37,591.0,0,1,0.0,4.0,-5,596.0
38,592.0,0,1,0.0,3.0,-4,596.0
39,593.0,0,1,0.0,0.0,-3,596.0
40,594.0,0,1,0.0,2.0,-2,596.0
41,595.0,0,1,0.0,0.0,-1,596.0
42,596.0,1,1,6.0,4.0,0,596.0
43,597.0,1,1,1.0,0.0,1,596.0
44,598.0,1,1,0.0,0.0,2,596.0
45,599.0,1,1,0.0,1.0,3,596.0
46,600.0,1,1,3.0,1.0,4,596.0
47,601.0,1,1,0.0,1.0,5,596.0
48,602.0,1,1,0.0,2.0,6,596.0
49,603.0,1,1,1.0,12.0,7,596.0
50,604.0,1,1,0.0,5.0,8,596.0
51,605.0,1,1,0.0,2.0,9,596.0
52,606.0,1,1,1.0,1.0,10,596.0
53,607.0,1,1,0.0,2.0,11,596.0
54,608.0,1,1,4.0,10.0,12,596.0
55,609.0,1,1,1.0,8.0,13,596.0
56,-3.0,0,3,0.0,0.0,-14,11.0
57,-2.0,0,3,0.0,0.0,-13,11.0
58,-1.0,0,3,35.0,228.0,-12,11.0
59,0.0,0,3,59.0,278.0,-11,11.0
60,1.0,0,3,45.0,95.0,-10,11.0
61,2.0,0,3,24.0,116.0,-9,11.0
62,3.0,0,3,44.0,152.0,-8,11.0
63,4.0,0,3,15.0,64.0,-7,11.0
64,5.0,0,3,14.0,51.0,-6,11.0
65,6.0,0,3,17.0,96.0,-5,11.0
66,7.0,0,3,16.0,58.0,-4,11.0
67,8.0,0,3,13.0,54.0,-3,11.0
68,9.0,0,3,4.0,45.0,-2,11.0
69,10.0,0,3,7.0,69.0,-1,11.0
70,11.0,1,3,8.0,69.0,0,11.0
71,12.0,1,3,11.0,61.0,1,11.0
72,13.0,1,3,13.0,87.0,2,11.0
73,14.0,1,3,4.0,141.0,3,11.0
74,15.0,1,3,3.0,72.0,4,11.0
75,16.0,1,3,1.0,34.0,5,11.0
76,17.0,1,3,4.0,46.0,6,11.0
77,18.0,1,3,1.0,58.0,7,11.0
78,19.0,1,3,6.0,46.0,8,11.0
79,20.0,1,3,0.0,31.0,9,11.0
80,21.0,1,3,1.0,37.0,10,11.0
81,22.0,1,3,2.0,28.0,11,11.0
82,23.0,1,3,1.0,18.0,12,11.0
83,24.0,1,3,0.0,27.0,13,11.0
84,597.0,0,4,0.0,2.0,-14,611.0
85,598.0,0,4,1.0,9.0,-13,611.0
86,599.0,0,4,3.0,19.0,-12,611.0
87,600.0,0,4,3.0,6.0,-11,611.0
88,601.0,0,4,1.0,17.0,-10,611.0
89,602.0,0,4,1.0,1.0,-9,611.0
90,603.0,0,4,2.0,16.0,-8,611.0
91,604.0,0,4,0.0,10.0,-7,611.0
92,605.0,0,4,1.0,1.0,-6,611.0
93,606.0,0,4,0.0,0.0,-5,611.0
94,607.0,0,4,0.0,0.0,-4,611.0
95,608.0,0,4,0.0,0.0,-3,611.0
96,609.0,0,4,0.0,0.0,-2,611.0
97,610.0,0,4,1.0,2.0,-1,611.0
98,611.0,1,4,7.0,14.0,0,611.0
99,612.0,1,4,2.0,4.0,1,611.0
100,613.0,1,4,1.0,1.0,2,611.0
101,614.0,1,4,4.0,12.0,3,611.0
102,615.0,1,4,0.0,3.0,4,611.0
103,616.0,1,4,1.0,3.0,5,611.0
104,617.0,1,4,1.0,7.0,6,611.0
105,618.0,1,4,1.0,19.0,7,611.0
106,619.0,1,4,0.0,6.0,8,611.0
107,620.0,1,4,0.0,5.0,9,611.0
108,621.0,1,4,0.0,3.0,10,611.0
109,622.0,1,4,0.0,1.0,11,611.0
110,623.0,1,4,0.0,0.0,12,611.0
111,624.0,1,4,0.0,1.0,13,611.0
112,354.0,0,5,1.0,3.0,-14,368.0
113,355.0,0,5,6.0,21.0,-13,368.0
114,356.0,0,5,3.0,10.0,-12,368.0
115,357.0,0,5,1.0,2.0,-11,368.0
116,358.0,0,5,0.0,1.0,-10,368.0
117,359.0,0,5,0.0,1.0,-9,368.0
118,360.0,0,5,1.0,4.0,-8,368.0
119,361.0,0,5,0.0,2.0,-7,368.0
120,362.0,0,5,9.0,53.0,-6,368.0
121,363.0,0,5,2.0,6.0,-5,368.0
122,364.0,0,5,0.0,3.0,-4,368.0
123,365.0,0,5,2.0,0.0,-3,368.0
124,366.0,0,5,1.0,2.0,-2,368.0
125,367.0,0,5,0.0,7.0,-1,368.0
126,368.0,1,5,6.0,29.0,0,368.0
127,369.0,1,5,1.0,2.0,1,368.0
128,370.0,1,5,0.0,2.0,2,368.0
129,371.0,1,5,0.0,1.0,3,368.0
130,372.0,1,5,0.0,0.0,4,368.0
131,373.0,1,5,0.0,0.0,5,368.0
132,374.0,1,5,0.0,3.0,6,368.0
133,375.0,1,5,1.0,2.0,7,368.0
134,376.0,1,5,1.0,1.0,8,368.0
135,377.0,1,5,2.0,4.0,9,368.0
136,378.0,1,5,0.0,0.0,10,368.0
137,379.0,1,5,0.0,0.0,11,368.0
138,380.0,1,5,0.0,1.0,12,368.0
139,381.0,1,5,0.0,0.0,13,368.0
140,815.0,0,6,3.0,31.0,-14,829.0
141,816.0,0,6,1.0,18.0,-13,829.0
142,817.0,0,6,2.0,11.0,-12,829.0
143,818.0,0,6,2.0,8.0,-11,829.0
144,819.0,0,6,0.0,9.0,-10,829.0
145,820.0,0,6,2.0,13.0,-9,829.0
146,821.0,0,6,3.0,15.0,-8,829.0
147,822.0,0,6,1.0,12.0,-7,829.0
148,823.0,0,6,2.0,8.0,-6,829.0
149,824.0,0,6,3.0,31.0,-5,829.0
150,825.0,0,6,0.0,18.0,-4,829.0
151,826.0,0,6,1.0,10.0,-3,829.0
152,827.0,0,6,8.0,30.0,-2,829.0
153,828.0,0,6,75.0,468.0,-1,829.0
154,829.0,1,6,9.0,38.0,0,829.0
155,830.0,1,6,7.0,30.0,1,829.0
156,831.0,1,6,6.0,56.0,2,829.0
