,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,687.0,0,236,0.0,6.0,0,10000
1,688.0,0,236,1.0,7.0,0,10000
2,689.0,0,236,2.0,8.0,0,10000
3,690.0,0,236,0.0,7.0,0,10000
4,691.0,0,236,3.0,6.0,0,10000
5,692.0,0,236,0.0,3.0,0,10000
6,693.0,0,236,2.0,8.0,0,10000
7,694.0,0,236,0.0,6.0,0,10000
8,695.0,0,236,1.0,7.0,0,10000
9,696.0,0,236,0.0,2.0,0,10000
10,697.0,0,236,0.0,7.0,0,10000
11,698.0,0,236,2.0,11.0,0,10000
12,699.0,0,236,1.0,7.0,0,10000
13,700.0,0,236,0.0,14.0,0,10000
14,701.0,0,236,2.0,6.0,0,10000
15,702.0,0,236,1.0,4.0,0,10000
16,703.0,0,236,0.0,3.0,0,10000
17,704.0,0,236,1.0,6.0,0,10000
18,705.0,0,236,2.0,9.0,0,10000
19,706.0,0,236,0.0,4.0,0,10000
20,707.0,0,236,1.0,7.0,0,10000
21,708.0,0,236,0.0,8.0,0,10000
22,709.0,0,236,0.0,4.0,0,10000
23,710.0,0,236,2.0,5.0,0,10000
24,711.0,0,236,1.0,9.0,0,10000
25,712.0,0,236,1.0,6.0,0,10000
26,713.0,0,236,1.0,6.0,0,10000
27,714.0,0,236,2.0,15.0,0,10000
28,687.0,0,237,1.0,0.0,0,10000
29,688.0,0,237,0.0,3.0,0,10000
30,689.0,0,237,0.0,2.0,0,10000
31,690.0,0,237,0.0,0.0,0,10000
32,691.0,0,237,1.0,1.0,0,10000
33,692.0,0,237,0.0,0.0,0,10000
34,693.0,0,237,0.0,0.0,0,10000
35,694.0,0,237,0.0,0.0,0,10000
36,695.0,0,237,0.0,0.0,0,10000
37,696.0,0,237,0.0,1.0,0,10000
38,697.0,0,237,0.0,1.0,0,10000
39,698.0,0,237,0.0,1.0,0,10000
40,699.0,0,237,0.0,0.0,0,10000
41,700.0,0,237,0.0,1.0,0,10000
42,701.0,0,237,0.0,0.0,0,10000
43,702.0,0,237,0.0,0.0,0,10000
44,703.0,0,237,0.0,1.0,0,10000
45,704.0,0,237,0.0,0.0,0,10000
46,705.0,0,237,0.0,1.0,0,10000
47,706.0,0,237,0.0,0.0,0,10000
48,707.0,0,237,0.0,0.0,0,10000
49,708.0,0,237,0.0,0.0,0,10000
50,709.0,0,237,0.0,1.0,0,10000
51,710.0,0,237,1.0,0.0,0,10000
52,711.0,0,237,0.0,1.0,0,10000
53,712.0,0,237,0.0,0.0,0,10000
54,713.0,0,237,0.0,0.0,0,10000
55,714.0,0,237,0.0,0.0,0,10000
56,687.0,0,238,1.0,2.0,0,10000
57,688.0,0,238,0.0,3.0,0,10000
58,689.0,0,238,1.0,1.0,0,10000
59,690.0,0,238,0.0,1.0,0,10000
60,691.0,0,238,2.0,4.0,0,10000
61,692.0,0,238,3.0,4.0,0,10000
62,693.0,0,238,0.0,2.0,0,10000
63,694.0,0,238,1.0,0.0,0,10000
64,695.0,0,238,1.0,2.0,0,10000
65,696.0,0,238,0.0,2.0,0,10000
66,697.0,0,238,1.0,2.0,0,10000
67,698.0,0,238,0.0,0.0,0,10000
68,699.0,0,238,0.0,5.0,0,10000
69,700.0,0,238,1.0,2.0,0,10000
70,701.0,0,238,0.0,1.0,0,10000
71,702.0,0,238,0.0,4.0,0,10000
72,703.0,0,238,0.0,3.0,0,10000
73,704.0,0,238,1.0,3.0,0,10000
74,705.0,0,238,1.0,0.0,0,10000
75,706.0,0,238,0.0,1.0,0,10000
76,707.0,0,238,2.0,4.0,0,10000
77,708.0,0,238,1.0,0.0,0,10000
78,709.0,0,238,1.0,1.0,0,10000
79,710.0,0,238,1.0,0.0,0,10000
80,711.0,0,238,0.0,2.0,0,10000
81,712.0,0,238,0.0,0.0,0,10000
82,713.0,0,238,1.0,3.0,0,10000
83,714.0,0,238,0.0,2.0,0,10000
84,757.0,0,239,0.0,8.0,0,10000
85,758.0,0,239,2.0,12.0,0,10000
86,759.0,0,239,0.0,20.0,0,10000
87,760.0,0,239,1.0,21.0,0,10000
88,761.0,0,239,1.0,17.0,0,10000
89,762.0,0,239,1.0,16.0,0,10000
90,763.0,0,239,2.0,14.0,0,10000
91,764.0,0,239,1.0,11.0,0,10000
92,765.0,0,239,1.0,7.0,0,10000
93,766.0,0,239,0.0,7.0,0,10000
94,767.0,0,239,0.0,11.0,0,10000
95,768.0,0,239,3.0,15.0,0,10000
96,769.0,0,239,0.0,8.0,0,10000
97,770.0,0,239,2.0,8.0,0,10000
98,771.0,0,239,1.0,7.0,0,10000
99,772.0,0,239,0.0,12.0,0,10000
100,773.0,0,239,0.0,8.0,0,10000
101,774.0,0,239,0.0,9.0,0,10000
102,775.0,0,239,0.0,7.0,0,10000
103,776.0,0,239,0.0,13.0,0,10000
104,777.0,0,239,0.0,11.0,0,10000
105,778.0,0,239,1.0,8.0,0,10000
106,779.0,0,239,1.0,7.0,0,10000
107,780.0,0,239,0.0,8.0,0,10000
108,781.0,0,239,4.0,29.0,0,10000
109,782.0,0,239,3.0,28.0,0,10000
110,783.0,0,239,1.0,16.0,0,10000
111,784.0,0,239,0.0,16.0,0,10000
112,757.0,0,240,0.0,0.0,0,10000
113,758.0,0,240,2.0,0.0,0,10000
114,759.0,0,240,0.0,2.0,0,10000
115,760.0,0,240,0.0,0.0,0,10000
116,761.0,0,240,0.0,2.0,0,10000
117,762.0,0,240,1.0,0.0,0,10000
118,763.0,0,240,0.0,1.0,0,10000
119,764.0,0,240,0.0,3.0,0,10000
120,765.0,0,240,2.0,1.0,0,10000
121,766.0,0,240,0.0,2.0,0,10000
122,767.0,0,240,0.0,0.0,0,10000
123,768.0,0,240,0.0,1.0,0,10000
124,769.0,0,240,0.0,0.0,0,10000
125,770.0,0,240,2.0,2.0,0,10000
126,771.0,0,240,0.0,0.0,0,10000
127,772.0,0,240,0.0,0.0,0,10000
128,773.0,0,240,1.0,1.0,0,10000
129,774.0,0,240,2.0,1.0,0,10000
130,775.0,0,240,1.0,2.0,0,10000
131,776.0,0,240,0.0,1.0,0,10000
132,777.0,0,240,1.0,0.0,0,10000
133,778.0,0,240,0.0,1.0,0,10000
134,779.0,0,240,1.0,0.0,0,10000
135,780.0,0,240,0.0,2.0,0,10000
136,781.0,0,240,0.0,0.0,0,10000
137,782.0,0,240,0.0,1.0,0,10000
138,783.0,0,240,0.0,2.0,0,10000
139,784.0,0,240,0.0,1.0,0,10000
140,757.0,0,241,4.0,19.0,0,10000
141,758.0,0,241,5.0,13.0,0,10000
142,759.0,0,241,7.0,18.0,0,10000
143,760.0,0,241,8.0,18.0,0,10000
144,761.0,0,241,3.0,16.0,0,10000
145,762.0,0,241,7.0,24.0,0,10000
146,763.0,0,241,8.0,29.0,0,10000
