,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,553.0,0,352,1489.0,5444.0,0,10000
1,554.0,0,352,733.0,2788.0,0,10000
2,555.0,0,352,590.0,1815.0,0,10000
3,556.0,0,352,1592.0,2004.0,0,10000
4,557.0,0,352,1363.0,2001.0,0,10000
5,558.0,0,352,548.0,1597.0,0,10000
6,559.0,0,352,493.0,1198.0,0,10000
7,560.0,0,352,401.0,1057.0,0,10000
8,561.0,0,352,1122.0,2623.0,0,10000
9,562.0,0,352,1323.0,2211.0,0,10000
10,563.0,0,352,3250.0,4046.0,0,10000
11,564.0,0,352,603.0,805.0,0,10000
12,565.0,0,352,444.0,700.0,0,10000
13,566.0,0,352,544.0,692.0,0,10000
14,567.0,0,352,268.0,703.0,0,10000
15,568.0,0,352,80.0,285.0,0,10000
16,569.0,0,352,101.0,335.0,0,10000
17,570.0,0,352,102.0,286.0,0,10000
18,571.0,0,352,111.0,247.0,0,10000
19,572.0,0,352,90.0,299.0,0,10000
20,573.0,0,352,155.0,492.0,0,10000
21,574.0,0,352,40.0,192.0,0,10000
22,575.0,0,352,38.0,236.0,0,10000
23,576.0,0,352,21.0,142.0,0,10000
24,577.0,0,352,62.0,311.0,0,10000
25,578.0,0,352,432.0,1002.0,0,10000
26,579.0,0,352,35.0,135.0,0,10000
27,580.0,0,352,52.0,270.0,0,10000
28,553.0,0,353,108.0,191.0,0,10000
29,554.0,0,353,106.0,346.0,0,10000
30,555.0,0,353,86.0,149.0,0,10000
31,556.0,0,353,49.0,89.0,0,10000
32,557.0,0,353,59.0,68.0,0,10000
33,558.0,0,353,35.0,66.0,0,10000
34,559.0,0,353,53.0,78.0,0,10000
35,560.0,0,353,118.0,262.0,0,10000
36,561.0,0,353,125.0,200.0,0,10000
37,562.0,0,353,30.0,44.0,0,10000
38,563.0,0,353,212.0,245.0,0,10000
39,564.0,0,353,332.0,308.0,0,10000
40,565.0,0,353,199.0,132.0,0,10000
41,566.0,0,353,277.0,213.0,0,10000
42,567.0,0,353,177.0,126.0,0,10000
43,568.0,0,353,230.0,166.0,0,10000
44,569.0,0,353,208.0,210.0,0,10000
45,570.0,0,353,114.0,145.0,0,10000
46,571.0,0,353,125.0,182.0,0,10000
47,572.0,0,353,72.0,86.0,0,10000
48,573.0,0,353,229.0,282.0,0,10000
49,574.0,0,353,277.0,407.0,0,10000
50,575.0,0,353,134.0,200.0,0,10000
51,576.0,0,353,57.0,93.0,0,10000
52,577.0,0,353,297.0,373.0,0,10000
53,578.0,0,353,215.0,327.0,0,10000
54,579.0,0,353,90.0,118.0,0,10000
55,580.0,0,353,84.0,120.0,0,10000
56,553.0,0,354,968.0,3561.0,0,10000
57,554.0,0,354,693.0,2316.0,0,10000
58,555.0,0,354,856.0,1766.0,0,10000
59,556.0,0,354,844.0,1537.0,0,10000
60,557.0,0,354,517.0,1095.0,0,10000
61,558.0,0,354,991.0,1548.0,0,10000
62,559.0,0,354,1033.0,2067.0,0,10000
63,560.0,0,354,887.0,1938.0,0,10000
64,561.0,0,354,635.0,2198.0,0,10000
65,562.0,0,354,757.0,1297.0,0,10000
66,563.0,0,354,320.0,573.0,0,10000
67,564.0,0,354,509.0,729.0,0,10000
68,565.0,0,354,317.0,494.0,0,10000
69,566.0,0,354,413.0,591.0,0,10000
70,567.0,0,354,75.0,337.0,0,10000
71,568.0,0,354,43.0,159.0,0,10000
72,569.0,0,354,357.0,716.0,0,10000
73,570.0,0,354,138.0,360.0,0,10000
74,571.0,0,354,183.0,555.0,0,10000
75,572.0,0,354,169.0,409.0,0,10000
76,573.0,0,354,139.0,425.0,0,10000
77,574.0,0,354,61.0,203.0,0,10000
78,575.0,0,354,28.0,143.0,0,10000
79,576.0,0,354,49.0,201.0,0,10000
80,577.0,0,354,35.0,139.0,0,10000
81,578.0,0,354,52.0,216.0,0,10000
82,579.0,0,354,16.0,130.0,0,10000
