,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,679.0,0,1431,0.0,1.0,0,10000
1,680.0,0,1431,0.0,2.0,0,10000
2,681.0,0,1431,0.0,2.0,0,10000
3,682.0,0,1431,0.0,3.0,0,10000
4,683.0,0,1431,0.0,12.0,0,10000
5,684.0,0,1431,0.0,2.0,0,10000
6,685.0,0,1431,10.0,35.0,0,10000
7,686.0,0,1431,1.0,8.0,0,10000
8,687.0,0,1431,0.0,2.0,0,10000
9,688.0,0,1431,0.0,4.0,0,10000
10,689.0,0,1431,1.0,4.0,0,10000
11,690.0,0,1431,1.0,4.0,0,10000
12,691.0,0,1431,0.0,3.0,0,10000
13,692.0,0,1431,1.0,1.0,0,10000
14,693.0,0,1431,1.0,2.0,0,10000
15,694.0,0,1431,0.0,5.0,0,10000
16,695.0,0,1431,1.0,2.0,0,10000
17,696.0,0,1431,0.0,1.0,0,10000
18,697.0,0,1431,0.0,3.0,0,10000
19,698.0,0,1431,1.0,12.0,0,10000
20,699.0,0,1431,0.0,5.0,0,10000
21,700.0,0,1431,0.0,2.0,0,10000
22,701.0,0,1431,0.0,1.0,0,10000
23,702.0,0,1431,0.0,1.0,0,10000
24,703.0,0,1431,0.0,1.0,0,10000
25,704.0,0,1431,1.0,2.0,0,10000
26,705.0,0,1431,0.0,5.0,0,10000
27,706.0,0,1431,0.0,6.0,0,10000
28,679.0,0,1432,0.0,0.0,0,10000
29,680.0,0,1432,0.0,1.0,0,10000
30,681.0,0,1432,0.0,1.0,0,10000
31,682.0,0,1432,0.0,2.0,0,10000
32,683.0,0,1432,0.0,0.0,0,10000
33,684.0,0,1432,0.0,2.0,0,10000
34,685.0,0,1432,1.0,0.0,0,10000
35,686.0,0,1432,0.0,0.0,0,10000
36,687.0,0,1432,1.0,0.0,0,10000
37,688.0,0,1432,0.0,0.0,0,10000
38,689.0,0,1432,1.0,1.0,0,10000
39,690.0,0,1432,1.0,2.0,0,10000
40,691.0,0,1432,1.0,0.0,0,10000
41,692.0,0,1432,0.0,0.0,0,10000
42,693.0,0,1432,1.0,1.0,0,10000
43,694.0,0,1432,0.0,0.0,0,10000
44,695.0,0,1432,4.0,5.0,0,10000
45,696.0,0,1432,0.0,0.0,0,10000
46,697.0,0,1432,0.0,0.0,0,10000
47,698.0,0,1432,0.0,1.0,0,10000
48,699.0,0,1432,0.0,0.0,0,10000
49,700.0,0,1432,0.0,0.0,0,10000
50,701.0,0,1432,0.0,0.0,0,10000
51,702.0,0,1432,1.0,0.0,0,10000
52,703.0,0,1432,0.0,0.0,0,10000
53,704.0,0,1432,2.0,0.0,0,10000
54,705.0,0,1432,1.0,0.0,0,10000
55,706.0,0,1432,0.0,0.0,0,10000
56,679.0,0,1433,6.0,52.0,0,10000
57,680.0,0,1433,5.0,40.0,0,10000
58,681.0,0,1433,121.0,394.0,0,10000
59,682.0,0,1433,13.0,37.0,0,10000
60,683.0,0,1433,1.0,14.0,0,10000
61,684.0,0,1433,2.0,12.0,0,10000
62,685.0,0,1433,2.0,22.0,0,10000
63,686.0,0,1433,3.0,4.0,0,10000
64,687.0,0,1433,3.0,2.0,0,10000
