,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,711.0,False,0,2.0,0.0,-14,725.0
1,712.0,False,0,0.0,0.0,-13,725.0
2,713.0,False,0,0.0,0.0,-12,725.0
3,714.0,False,0,0.0,0.0,-11,725.0
4,715.0,False,0,0.0,0.0,-10,725.0
5,716.0,False,0,1.0,0.0,-9,725.0
6,717.0,False,0,0.0,0.0,-8,725.0
7,718.0,False,0,0.0,0.0,-7,725.0
8,719.0,False,0,0.0,0.0,-6,725.0
9,720.0,False,0,0.0,0.0,-5,725.0
10,721.0,False,0,0.0,0.0,-4,725.0
11,722.0,False,0,0.0,1.0,-3,725.0
12,723.0,False,0,1.0,0.0,-2,725.0
13,724.0,False,0,0.0,0.0,-1,725.0
14,725.0,True,0,5.0,0.0,0,725.0
15,726.0,True,0,0.0,1.0,1,725.0
16,727.0,True,0,0.0,0.0,2,725.0
17,728.0,True,0,0.0,0.0,3,725.0
18,729.0,True,0,3.0,0.0,4,725.0
19,730.0,True,0,0.0,1.0,5,725.0
20,731.0,True,0,2.0,0.0,6,725.0
21,732.0,True,0,1.0,0.0,7,725.0
22,733.0,True,0,0.0,0.0,8,725.0
23,734.0,True,0,1.0,0.0,9,725.0
24,735.0,True,0,0.0,0.0,10,725.0
25,736.0,True,0,1.0,0.0,11,725.0
26,737.0,True,0,0.0,0.0,12,725.0
27,738.0,True,0,0.0,0.0,13,725.0
28,605.0,False,1,9.0,10.0,-14,619.0
29,606.0,False,1,9.0,7.0,-13,619.0
30,607.0,False,1,7.0,14.0,-12,619.0
31,608.0,False,1,10.0,9.0,-11,619.0
32,609.0,False,1,18.0,6.0,-10,619.0
33,610.0,False,1,9.0,5.0,-9,619.0
34,611.0,False,1,13.0,6.0,-8,619.0
35,612.0,False,1,6.0,8.0,-7,619.0
36,613.0,False,1,13.0,7.0,-6,619.0
37,614.0,False,1,8.0,14.0,-5,619.0
38,615.0,False,1,8.0,9.0,-4,619.0
39,616.0,False,1,11.0,4.0,-3,619.0
40,617.0,False,1,11.0,12.0,-2,619.0
41,618.0,False,1,8.0,10.0,-1,619.0
42,619.0,True,1,30.0,16.0,0,619.0
43,620.0,True,1,11.0,13.0,1,619.0
44,621.0,True,1,6.0,5.0,2,619.0
45,622.0,True,1,9.0,6.0,3,619.0
46,623.0,True,1,9.0,6.0,4,619.0
47,624.0,True,1,5.0,10.0,5,619.0
48,625.0,True,1,10.0,12.0,6,619.0
49,626.0,True,1,10.0,11.0,7,619.0
50,627.0,True,1,11.0,16.0,8,619.0
51,628.0,True,1,8.0,4.0,9,619.0
52,629.0,True,1,4.0,14.0,10,619.0
53,630.0,True,1,26.0,23.0,11,619.0
54,631.0,True,1,13.0,11.0,12,619.0
55,632.0,True,1,65.0,41.0,13,619.0
56,773.0,False,2,0.0,1.0,-14,787.0
57,774.0,False,2,0.0,0.0,-13,787.0
58,775.0,False,2,0.0,0.0,-12,787.0
59,776.0,False,2,0.0,0.0,-11,787.0
60,777.0,False,2,0.0,1.0,-10,787.0
61,778.0,False,2,0.0,0.0,-9,787.0
62,779.0,False,2,0.0,0.0,-8,787.0
63,780.0,False,2,0.0,0.0,-7,787.0
64,781.0,False,2,0.0,0.0,-6,787.0
65,782.0,False,2,0.0,0.0,-5,787.0
66,783.0,False,2,0.0,1.0,-4,787.0
67,784.0,False,2,0.0,0.0,-3,787.0
