,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,672.0,False,0,2.0,1.0,-14,686.0
1,673.0,False,0,0.0,1.0,-13,686.0
2,674.0,False,0,1.0,0.0,-12,686.0
3,675.0,False,0,1.0,1.0,-11,686.0
4,676.0,False,0,0.0,1.0,-10,686.0
5,677.0,False,0,0.0,3.0,-9,686.0
6,678.0,False,0,1.0,2.0,-8,686.0
7,679.0,False,0,0.0,0.0,-7,686.0
8,680.0,False,0,2.0,2.0,-6,686.0
9,681.0,False,0,0.0,0.0,-5,686.0
10,682.0,False,0,1.0,3.0,-4,686.0
11,683.0,False,0,1.0,3.0,-3,686.0
12,684.0,False,0,0.0,1.0,-2,686.0
13,685.0,False,0,0.0,0.0,-1,686.0
14,686.0,True,0,2.0,0.0,0,686.0
15,687.0,True,0,1.0,0.0,1,686.0
16,688.0,True,0,0.0,0.0,2,686.0
17,689.0,True,0,1.0,0.0,3,686.0
18,690.0,True,0,0.0,0.0,4,686.0
19,691.0,True,0,0.0,0.0,5,686.0
20,692.0,True,0,0.0,0.0,6,686.0
21,693.0,True,0,0.0,0.0,7,686.0
22,694.0,True,0,0.0,0.0,8,686.0
23,695.0,True,0,0.0,1.0,9,686.0
24,696.0,True,0,0.0,0.0,10,686.0
25,697.0,True,0,0.0,2.0,11,686.0
26,698.0,True,0,0.0,0.0,12,686.0
27,699.0,True,0,0.0,4.0,13,686.0
28,-5.0,False,1,0.0,0.0,-14,9.0
29,-4.0,False,1,0.0,0.0,-13,9.0
30,-3.0,False,1,0.0,0.0,-12,9.0
31,-2.0,False,1,0.0,0.0,-11,9.0
32,-1.0,False,1,0.0,0.0,-10,9.0
33,0.0,False,1,0.0,0.0,-9,9.0
34,1.0,False,1,0.0,0.0,-8,9.0
35,2.0,False,1,0.0,0.0,-7,9.0
36,3.0,False,1,0.0,0.0,-6,9.0
37,4.0,False,1,0.0,0.0,-5,9.0
38,5.0,False,1,0.0,0.0,-4,9.0
39,6.0,False,1,0.0,0.0,-3,9.0
40,7.0,False,1,0.0,0.0,-2,9.0
41,8.0,False,1,2.0,4.0,-1,9.0
42,9.0,True,1,13.0,1.0,0,9.0
43,10.0,True,1,1.0,2.0,1,9.0
44,11.0,True,1,0.0,1.0,2,9.0
45,12.0,True,1,0.0,2.0,3,9.0
46,13.0,True,1,0.0,3.0,4,9.0
47,14.0,True,1,1.0,1.0,5,9.0
48,15.0,True,1,0.0,1.0,6,9.0
49,16.0,True,1,0.0,1.0,7,9.0
50,17.0,True,1,1.0,0.0,8,9.0
51,18.0,True,1,0.0,1.0,9,9.0
52,19.0,True,1,0.0,1.0,10,9.0
53,20.0,True,1,0.0,0.0,11,9.0
54,21.0,True,1,0.0,0.0,12,9.0
55,22.0,True,1,0.0,1.0,13,9.0
56,565.0,False,2,0.0,0.0,-14,579.0
57,566.0,False,2,0.0,0.0,-13,579.0
58,567.0,False,2,0.0,0.0,-12,579.0
59,568.0,False,2,0.0,4.0,-11,579.0
60,569.0,False,2,1.0,0.0,-10,579.0
61,570.0,False,2,0.0,0.0,-9,579.0
62,571.0,False,2,0.0,5.0,-8,579.0
63,572.0,False,2,0.0,2.0,-7,579.0
64,573.0,False,2,0.0,0.0,-6,579.0
65,574.0,False,2,0.0,1.0,-5,579.0
66,575.0,False,2,0.0,2.0,-4,579.0
67,576.0,False,2,0.0,6.0,-3,579.0
68,577.0,False,2,0.0,16.0,-2,579.0
69,578.0,False,2,0.0,10.0,-1,579.0
70,579.0,True,2,0.0,6.0,0,579.0
71,580.0,True,2,1.0,20.0,1,579.0
72,581.0,True,2,0.0,11.0,2,579.0
73,582.0,True,2,0.0,4.0,3,579.0
74,583.0,True,2,0.0,7.0,4,579.0
75,584.0,True,2,0.0,7.0,5,579.0
76,585.0,True,2,0.0,5.0,6,579.0
77,586.0,True,2,0.0,0.0,7,579.0
78,587.0,True,2,0.0,1.0,8,579.0
79,588.0,True,2,0.0,1.0,9,579.0
80,589.0,True,2,0.0,0.0,10,579.0
81,590.0,True,2,1.0,1.0,11,579.0
82,591.0,True,2,0.0,0.0,12,579.0
83,592.0,True,2,0.0,1.0,13,579.0
84,592.0,False,3,0.0,0.0,-14,606.0
85,593.0,False,3,0.0,1.0,-13,606.0
86,594.0,False,3,0.0,0.0,-12,606.0
87,595.0,False,3,0.0,1.0,-11,606.0
88,596.0,False,3,0.0,1.0,-10,606.0
89,597.0,False,3,0.0,0.0,-9,606.0
90,598.0,False,3,0.0,0.0,-8,606.0
91,599.0,False,3,0.0,1.0,-7,606.0
92,600.0,False,3,0.0,0.0,-6,606.0
93,601.0,False,3,0.0,0.0,-5,606.0
94,602.0,False,3,2.0,0.0,-4,606.0
95,603.0,False,3,0.0,1.0,-3,606.0
96,604.0,False,3,1.0,3.0,-2,606.0
97,605.0,False,3,0.0,2.0,-1,606.0
98,606.0,True,3,2.0,1.0,0,606.0
99,607.0,True,3,0.0,1.0,1,606.0
100,608.0,True,3,0.0,2.0,2,606.0
101,609.0,True,3,0.0,0.0,3,606.0
102,610.0,True,3,0.0,1.0,4,606.0
103,611.0,True,3,0.0,1.0,5,606.0
104,612.0,True,3,0.0,1.0,6,606.0
105,613.0,True,3,0.0,0.0,7,606.0
106,614.0,True,3,0.0,0.0,8,606.0
107,615.0,True,3,0.0,0.0,9,606.0
108,616.0,True,3,0.0,0.0,10,606.0
109,617.0,True,3,0.0,0.0,11,606.0
110,618.0,True,3,0.0,0.0,12,606.0
111,619.0,True,3,0.0,0.0,13,606.0
112,-14.0,False,4,0.0,0.0,-14,0.0
113,-13.0,False,4,0.0,0.0,-13,0.0
114,-12.0,False,4,0.0,0.0,-12,0.0
115,-11.0,False,4,0.0,0.0,-11,0.0
116,-10.0,False,4,0.0,0.0,-10,0.0
117,-9.0,False,4,0.0,0.0,-9,0.0
118,-8.0,False,4,0.0,0.0,-8,0.0
119,-7.0,False,4,0.0,0.0,-7,0.0
120,-6.0,False,4,0.0,0.0,-6,0.0
121,-5.0,False,4,0.0,0.0,-5,0.0
122,-4.0,False,4,0.0,2.0,-4,0.0
123,-3.0,False,4,0.0,11.0,-3,0.0
124,-2.0,False,4,0.0,7.0,-2,0.0
125,-1.0,False,4,2.0,35.0,-1,0.0
126,0.0,True,4,25.0,291.0,0,0.0
127,1.0,True,4,0.0,17.0,1,0.0
128,2.0,True,4,0.0,13.0,2,0.0
129,3.0,True,4,0.0,4.0,3,0.0
130,4.0,True,4,1.0,26.0,4,0.0
131,5.0,True,4,0.0,7.0,5,0.0
132,6.0,True,4,0.0,4.0,6,0.0
133,7.0,True,4,0.0,9.0,7,0.0
134,8.0,True,4,0.0,7.0,8,0.0
135,9.0,True,4,0.0,3.0,9,0.0
136,10.0,True,4,0.0,4.0,10,0.0
137,11.0,True,4,0.0,1.0,11,0.0
138,12.0,True,4,0.0,2.0,12,0.0
139,13.0,True,4,0.0,2.0,13,0.0
140,825.0,False,5,3.0,21.0,-14,839.0
141,826.0,False,5,14.0,46.0,-13,839.0
142,827.0,False,5,3.0,5.0,-12,839.0
143,828.0,False,5,4.0,8.0,-11,839.0
144,829.0,False,5,1.0,3.0,-10,839.0
145,830.0,False,5,2.0,20.0,-9,839.0
146,831.0,False,5,0.0,9.0,-8,839.0
147,832.0,False,5,12.0,48.0,-7,839.0
148,833.0,False,5,14.0,81.0,-6,839.0
149,834.0,False,5,7.0,27.0,-5,839.0
150,835.0,False,5,5.0,12.0,-4,839.0
151,836.0,False,5,27.0,225.0,-3,839.0
152,837.0,False,5,53.0,288.0,-2,839.0
153,838.0,False,5,8.0,29.0,-1,839.0
154,839.0,True,5,38.0,26.0,0,839.0
155,840.0,True,5,4.0,28.0,1,839.0
156,841.0,True,5,8.0,13.0,2,839.0
157,842.0,True,5,3.0,15.0,3,839.0
158,843.0,True,5,9.0,19.0,4,839.0
159,844.0,True,5,10.0,39.0,5,839.0
160,845.0,True,5,8.0,20.0,6,839.0
161,846.0,True,5,2.0,11.0,7,839.0
162,847.0,True,5,5.0,11.0,8,839.0
163,848.0,True,5,2.0,6.0,9,839.0
164,849.0,True,5,2.0,9.0,10,839.0
165,850.0,True,5,2.0,7.0,11,839.0
166,851.0,True,5,1.0,8.0,12,839.0
167,852.0,True,5,6.0,27.0,13,839.0
168,-13.0,False,6,0.0,0.0,-14,1.0
169,-12.0,False,6,0.0,0.0,-13,1.0
170,-11.0,False,6,0.0,0.0,-12,1.0
171,-10.0,False,6,0.0,0.0,-11,1.0
172,-9.0,False,6,0.0,0.0,-10,1.0
173,-8.0,False,6,0.0,0.0,-9,1.0
174,-7.0,False,6,0.0,0.0,-8,1.0
175,-6.0,False,6,0.0,0.0,-7,1.0
176,-5.0,False,6,0.0,0.0,-6,1.0
177,-4.0,False,6,0.0,0.0,-5,1.0
178,-3.0,False,6,0.0,0.0,-4,1.0
179,-2.0,False,6,0.0,0.0,-3,1.0
180,-1.0,False,6,3.0,23.0,-2,1.0
181,0.0,False,6,19.0,26.0,-1,1.0
182,1.0,True,6,14.0,13.0,0,1.0
183,2.0,True,6,0.0,3.0,1,1.0
184,3.0,True,6,2.0,4.0,2,1.0
185,4.0,True,6,3.0,6.0,3,1.0
186,5.0,True,6,1.0,3.0,4,1.0
187,6.0,True,6,0.0,6.0,5,1.0
188,7.0,True,6,1.0,6.0,6,1.0
189,8.0,True,6,0.0,3.0,7,1.0
190,9.0,True,6,0.0,1.0,8,1.0
191,10.0,True,6,0.0,1.0,9,1.0
192,11.0,True,6,0.0,5.0,10,1.0
193,12.0,True,6,0.0,2.0,11,1.0
194,13.0,True,6,1.0,10.0,12,1.0
