,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,627.0,False,0,21.0,39.0,-14,641.0
1,628.0,False,0,24.0,40.0,-13,641.0
2,629.0,False,0,37.0,57.0,-12,641.0
3,630.0,False,0,59.0,52.0,-11,641.0
4,631.0,False,0,34.0,53.0,-10,641.0
5,632.0,False,0,171.0,161.0,-9,641.0
6,633.0,False,0,85.0,153.0,-8,641.0
7,634.0,False,0,136.0,157.0,-7,641.0
8,635.0,False,0,80.0,105.0,-6,641.0
9,636.0,False,0,50.0,97.0,-5,641.0
10,637.0,False,0,161.0,165.0,-4,641.0
11,638.0,False,0,208.0,165.0,-3,641.0
12,639.0,False,0,363.0,225.0,-2,641.0
13,640.0,False,0,73.0,105.0,-1,641.0
14,641.0,True,0,367.0,196.0,0,641.0
15,642.0,True,0,46.0,46.0,1,641.0
16,643.0,True,0,45.0,75.0,2,641.0
17,644.0,True,0,39.0,72.0,3,641.0
18,645.0,True,0,235.0,232.0,4,641.0
19,646.0,True,0,207.0,150.0,5,641.0
20,647.0,True,0,43.0,64.0,6,641.0
21,648.0,True,0,40.0,53.0,7,641.0
22,649.0,True,0,18.0,46.0,8,641.0
23,650.0,True,0,26.0,54.0,9,641.0
24,651.0,True,0,22.0,47.0,10,641.0
25,652.0,True,0,27.0,36.0,11,641.0
26,653.0,True,0,34.0,55.0,12,641.0
27,654.0,True,0,56.0,71.0,13,641.0
28,553.0,False,1,2549.0,15702.0,-14,567.0
29,554.0,False,1,2627.0,17398.0,-13,567.0
30,555.0,False,1,1628.0,9223.0,-12,567.0
31,556.0,False,1,2479.0,10671.0,-11,567.0
32,557.0,False,1,1747.0,9137.0,-10,567.0
33,558.0,False,1,1600.0,7737.0,-9,567.0
34,559.0,False,1,1294.0,7165.0,-8,567.0
35,560.0,False,1,1313.0,5636.0,-7,567.0
36,561.0,False,1,1333.0,5146.0,-6,567.0
37,562.0,False,1,1044.0,4965.0,-5,567.0
38,563.0,False,1,1172.0,5658.0,-4,567.0
39,564.0,False,1,641.0,2955.0,-3,567.0
40,565.0,False,1,479.0,2214.0,-2,567.0
41,566.0,False,1,587.0,2374.0,-1,567.0
42,567.0,True,1,543.0,2729.0,0,567.0
43,568.0,True,1,264.0,1800.0,1,567.0
44,569.0,True,1,301.0,1798.0,2,567.0
45,570.0,True,1,279.0,1982.0,3,567.0
46,571.0,True,1,279.0,1967.0,4,567.0
47,572.0,True,1,230.0,1586.0,5,567.0
48,573.0,True,1,289.0,2113.0,6,567.0
49,574.0,True,1,325.0,1930.0,7,567.0
50,575.0,True,1,295.0,1508.0,8,567.0
51,576.0,True,1,317.0,2019.0,9,567.0
52,577.0,True,1,153.0,1306.0,10,567.0
53,578.0,True,1,172.0,1104.0,11,567.0
54,579.0,True,1,114.0,790.0,12,567.0
55,580.0,True,1,245.0,1136.0,13,567.0
56,543.0,False,2,0.0,0.0,-14,557.0
57,544.0,False,2,0.0,0.0,-13,557.0
58,545.0,False,2,0.0,0.0,-12,557.0
59,546.0,False,2,0.0,0.0,-11,557.0
60,547.0,False,2,0.0,0.0,-10,557.0
61,548.0,False,2,0.0,0.0,-9,557.0
62,549.0,False,2,0.0,0.0,-8,557.0
63,550.0,False,2,0.0,0.0,-7,557.0
64,551.0,False,2,1535.0,7308.0,-6,557.0
65,552.0,False,2,903.0,3069.0,-5,557.0
66,553.0,False,2,1221.0,3836.0,-4,557.0
67,554.0,False,2,1829.0,6813.0,-3,557.0
68,555.0,False,2,1045.0,3840.0,-2,557.0
69,556.0,False,2,1432.0,3492.0,-1,557.0
70,557.0,True,2,2008.0,5721.0,0,557.0
71,558.0,True,2,966.0,2990.0,1,557.0
72,559.0,True,2,1381.0,5209.0,2,557.0
73,560.0,True,2,1545.0,5934.0,3,557.0
74,561.0,True,2,749.0,3624.0,4,557.0
75,562.0,True,2,746.0,2987.0,5,557.0
76,563.0,True,2,193.0,1128.0,6,557.0
77,564.0,True,2,102.0,630.0,7,557.0
78,565.0,True,2,217.0,1418.0,8,557.0
79,566.0,True,2,87.0,634.0,9,557.0
80,567.0,True,2,505.0,2461.0,10,557.0
81,568.0,True,2,279.0,1219.0,11,557.0
82,569.0,True,2,110.0,571.0,12,557.0
83,570.0,True,2,78.0,540.0,13,557.0
84,844.0,False,3,4.0,20.0,-14,858.0
85,845.0,False,3,12.0,27.0,-13,858.0
86,846.0,False,3,10.0,36.0,-12,858.0
87,847.0,False,3,1.0,28.0,-11,858.0
88,848.0,False,3,13.0,55.0,-10,858.0
89,849.0,False,3,4.0,37.0,-9,858.0
90,850.0,False,3,4.0,22.0,-8,858.0
91,851.0,False,3,7.0,28.0,-7,858.0
92,852.0,False,3,4.0,20.0,-6,858.0
93,853.0,False,3,7.0,20.0,-5,858.0
94,854.0,False,3,3.0,25.0,-4,858.0
95,855.0,False,3,6.0,63.0,-3,858.0
