,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,654.0,False,0,3.0,17.0,-14,668.0
1,655.0,False,0,3.0,15.0,-13,668.0
2,656.0,False,0,1.0,23.0,-12,668.0
3,657.0,False,0,14.0,41.0,-11,668.0
4,658.0,False,0,9.0,35.0,-10,668.0
5,659.0,False,0,4.0,20.0,-9,668.0
6,660.0,False,0,9.0,67.0,-8,668.0
7,661.0,False,0,5.0,33.0,-7,668.0
8,662.0,False,0,6.0,21.0,-6,668.0
9,663.0,False,0,2.0,24.0,-5,668.0
10,664.0,False,0,6.0,16.0,-4,668.0
11,665.0,False,0,3.0,22.0,-3,668.0
12,666.0,False,0,2.0,38.0,-2,668.0
13,667.0,False,0,21.0,169.0,-1,668.0
14,668.0,True,0,29.0,225.0,0,668.0
15,669.0,True,0,6.0,32.0,1,668.0
16,670.0,True,0,1.0,29.0,2,668.0
17,671.0,True,0,1.0,21.0,3,668.0
18,672.0,True,0,8.0,43.0,4,668.0
19,673.0,True,0,4.0,33.0,5,668.0
20,674.0,True,0,5.0,19.0,6,668.0
21,675.0,True,0,5.0,35.0,7,668.0
22,676.0,True,0,3.0,23.0,8,668.0
23,677.0,True,0,23.0,134.0,9,668.0
24,678.0,True,0,18.0,86.0,10,668.0
25,679.0,True,0,7.0,43.0,11,668.0
26,680.0,True,0,11.0,79.0,12,668.0
27,681.0,True,0,48.0,446.0,13,668.0
28,672.0,False,1,8.0,81.0,-14,686.0
29,673.0,False,1,5.0,57.0,-13,686.0
30,674.0,False,1,3.0,39.0,-12,686.0
31,675.0,False,1,1.0,23.0,-11,686.0
32,676.0,False,1,3.0,30.0,-10,686.0
33,677.0,False,1,0.0,35.0,-9,686.0
34,678.0,False,1,5.0,44.0,-8,686.0
35,679.0,False,1,7.0,33.0,-7,686.0
36,680.0,False,1,3.0,39.0,-6,686.0
37,681.0,False,1,9.0,126.0,-5,686.0
38,682.0,False,1,6.0,42.0,-4,686.0
39,683.0,False,1,5.0,61.0,-3,686.0
40,684.0,False,1,1.0,41.0,-2,686.0
41,685.0,False,1,7.0,26.0,-1,686.0
42,686.0,True,1,17.0,171.0,0,686.0
43,687.0,True,1,6.0,94.0,1,686.0
44,688.0,True,1,9.0,74.0,2,686.0
45,689.0,True,1,3.0,29.0,3,686.0
46,690.0,True,1,3.0,68.0,4,686.0
47,691.0,True,1,16.0,116.0,5,686.0
48,692.0,True,1,9.0,65.0,6,686.0
49,693.0,True,1,2.0,26.0,7,686.0
50,694.0,True,1,7.0,50.0,8,686.0
51,695.0,True,1,1.0,53.0,9,686.0
52,696.0,True,1,2.0,17.0,10,686.0
53,697.0,True,1,10.0,77.0,11,686.0
54,698.0,True,1,4.0,95.0,12,686.0
55,699.0,True,1,2.0,36.0,13,686.0
56,287.0,False,2,0.0,0.0,-14,301.0
57,288.0,False,2,0.0,0.0,-13,301.0
58,289.0,False,2,0.0,0.0,-12,301.0
59,290.0,False,2,0.0,0.0,-11,301.0
60,291.0,False,2,0.0,1.0,-10,301.0
61,292.0,False,2,0.0,1.0,-9,301.0
62,293.0,False,2,0.0,0.0,-8,301.0
63,294.0,False,2,0.0,0.0,-7,301.0
64,295.0,False,2,0.0,0.0,-6,301.0
65,296.0,False,2,0.0,0.0,-5,301.0
66,297.0,False,2,0.0,0.0,-4,301.0
67,298.0,False,2,0.0,0.0,-3,301.0
68,299.0,False,2,0.0,0.0,-2,301.0
69,300.0,False,2,0.0,0.0,-1,301.0
70,301.0,True,2,0.0,0.0,0,301.0
71,302.0,True,2,0.0,0.0,1,301.0
72,303.0,True,2,0.0,0.0,2,301.0
73,304.0,True,2,0.0,0.0,3,301.0
74,305.0,True,2,0.0,0.0,4,301.0
75,306.0,True,2,0.0,0.0,5,301.0
76,307.0,True,2,0.0,0.0,6,301.0
77,308.0,True,2,0.0,0.0,7,301.0
78,309.0,True,2,0.0,0.0,8,301.0
79,310.0,True,2,0.0,0.0,9,301.0
80,311.0,True,2,0.0,0.0,10,301.0
81,312.0,True,2,0.0,0.0,11,301.0
82,313.0,True,2,0.0,0.0,12,301.0
83,314.0,True,2,0.0,0.0,13,301.0
84,728.0,False,3,2.0,20.0,-14,742.0
85,729.0,False,3,1.0,24.0,-13,742.0
86,730.0,False,3,4.0,33.0,-12,742.0
87,731.0,False,3,0.0,27.0,-11,742.0
88,732.0,False,3,5.0,26.0,-10,742.0
89,733.0,False,3,2.0,20.0,-9,742.0
90,734.0,False,3,4.0,13.0,-8,742.0
91,735.0,False,3,3.0,7.0,-7,742.0
92,736.0,False,3,1.0,36.0,-6,742.0
93,737.0,False,3,5.0,70.0,-5,742.0
94,738.0,False,3,15.0,194.0,-4,742.0
95,739.0,False,3,3.0,24.0,-3,742.0
96,740.0,False,3,3.0,27.0,-2,742.0
97,741.0,False,3,2.0,27.0,-1,742.0
98,742.0,True,3,1.0,83.0,0,742.0
99,743.0,True,3,1.0,21.0,1,742.0
100,744.0,True,3,0.0,18.0,2,742.0
101,745.0,True,3,0.0,18.0,3,742.0
102,746.0,True,3,2.0,19.0,4,742.0
103,747.0,True,3,2.0,22.0,5,742.0
104,748.0,True,3,0.0,34.0,6,742.0
105,749.0,True,3,0.0,63.0,7,742.0
106,750.0,True,3,2.0,23.0,8,742.0
107,751.0,True,3,3.0,49.0,9,742.0
108,752.0,True,3,7.0,43.0,10,742.0
109,753.0,True,3,4.0,46.0,11,742.0
110,754.0,True,3,0.0,26.0,12,742.0
111,755.0,True,3,4.0,40.0,13,742.0
112,23.0,False,4,0.0,2.0,-14,37.0
113,24.0,False,4,0.0,2.0,-13,37.0
114,25.0,False,4,0.0,1.0,-12,37.0
115,26.0,False,4,0.0,0.0,-11,37.0
116,27.0,False,4,0.0,1.0,-10,37.0
117,28.0,False,4,0.0,1.0,-9,37.0
118,29.0,False,4,0.0,2.0,-8,37.0
119,30.0,False,4,0.0,1.0,-7,37.0
120,31.0,False,4,0.0,4.0,-6,37.0
121,32.0,False,4,0.0,0.0,-5,37.0
122,33.0,False,4,0.0,2.0,-4,37.0
123,34.0,False,4,0.0,1.0,-3,37.0
124,35.0,False,4,0.0,5.0,-2,37.0
125,36.0,False,4,0.0,3.0,-1,37.0
126,37.0,True,4,2.0,3.0,0,37.0
127,38.0,True,4,0.0,1.0,1,37.0
128,39.0,True,4,0.0,0.0,2,37.0
129,40.0,True,4,0.0,0.0,3,37.0
130,41.0,True,4,0.0,7.0,4,37.0
131,42.0,True,4,0.0,3.0,5,37.0
132,43.0,True,4,0.0,1.0,6,37.0
133,44.0,True,4,0.0,0.0,7,37.0
134,45.0,True,4,0.0,7.0,8,37.0
135,46.0,True,4,0.0,7.0,9,37.0
136,47.0,True,4,1.0,25.0,10,37.0
137,48.0,True,4,0.0,8.0,11,37.0
138,49.0,True,4,0.0,2.0,12,37.0
139,50.0,True,4,0.0,1.0,13,37.0
140,183.0,False,5,3.0,48.0,-14,197.0
141,184.0,False,5,3.0,63.0,-13,197.0
142,185.0,False,5,1.0,60.0,-12,197.0
143,186.0,False,5,3.0,71.0,-11,197.0
144,187.0,False,5,6.0,90.0,-10,197.0
145,188.0,False,5,5.0,77.0,-9,197.0
146,189.0,False,5,1.0,60.0,-8,197.0
147,190.0,False,5,0.0,39.0,-7,197.0
148,191.0,False,5,2.0,40.0,-6,197.0
149,192.0,False,5,4.0,41.0,-5,197.0
150,193.0,False,5,2.0,64.0,-4,197.0
151,194.0,False,5,2.0,66.0,-3,197.0
152,195.0,False,5,3.0,71.0,-2,197.0
153,196.0,False,5,4.0,95.0,-1,197.0
154,197.0,True,5,8.0,283.0,0,197.0
