,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts,year_treated
0,796.0,False,0,1.0,2.0,-14,810.0
1,797.0,False,0,1.0,1.0,-13,810.0
2,798.0,False,0,0.0,1.0,-12,810.0
3,799.0,False,0,0.0,0.0,-11,810.0
4,800.0,False,0,2.0,4.0,-10,810.0
5,801.0,False,0,2.0,9.0,-9,810.0
6,802.0,False,0,1.0,4.0,-8,810.0
7,803.0,False,0,0.0,5.0,-7,810.0
8,804.0,False,0,1.0,3.0,-6,810.0
9,805.0,False,0,0.0,1.0,-5,810.0
10,806.0,False,0,0.0,4.0,-4,810.0
11,807.0,False,0,1.0,10.0,-3,810.0
12,808.0,False,0,4.0,6.0,-2,810.0
13,809.0,False,0,2.0,14.0,-1,810.0
14,810.0,True,0,1.0,25.0,0,810.0
15,811.0,True,0,5.0,23.0,1,810.0
16,812.0,True,0,6.0,33.0,2,810.0
17,813.0,True,0,3.0,21.0,3,810.0
18,814.0,True,0,1.0,13.0,4,810.0
19,815.0,True,0,10.0,16.0,5,810.0
20,816.0,True,0,2.0,22.0,6,810.0
21,817.0,True,0,5.0,13.0,7,810.0
22,818.0,True,0,2.0,9.0,8,810.0
23,819.0,True,0,3.0,7.0,9,810.0
24,820.0,True,0,2.0,14.0,10,810.0
25,821.0,True,0,1.0,4.0,11,810.0
26,822.0,True,0,2.0,5.0,12,810.0
27,823.0,True,0,2.0,3.0,13,810.0
28,-3.0,False,1,0.0,0.0,-14,11.0
29,-2.0,False,1,0.0,0.0,-13,11.0
30,-1.0,False,1,0.0,0.0,-12,11.0
31,0.0,False,1,0.0,0.0,-11,11.0
32,1.0,False,1,0.0,0.0,-10,11.0
33,2.0,False,1,0.0,0.0,-9,11.0
34,3.0,False,1,0.0,0.0,-8,11.0
35,4.0,False,1,0.0,0.0,-7,11.0
36,5.0,False,1,0.0,0.0,-6,11.0
37,6.0,False,1,2.0,6.0,-5,11.0
38,7.0,False,1,4.0,5.0,-4,11.0
39,8.0,False,1,3.0,0.0,-3,11.0
40,9.0,False,1,5.0,1.0,-2,11.0
41,10.0,False,1,2.0,0.0,-1,11.0
42,11.0,True,1,15.0,10.0,0,11.0
43,12.0,True,1,1.0,3.0,1,11.0
44,13.0,True,1,2.0,4.0,2,11.0
45,14.0,True,1,1.0,3.0,3,11.0
46,15.0,True,1,1.0,2.0,4,11.0
47,16.0,True,1,0.0,2.0,5,11.0
48,17.0,True,1,2.0,2.0,6,11.0
49,18.0,True,1,1.0,0.0,7,11.0
50,19.0,True,1,0.0,15.0,8,11.0
51,20.0,True,1,0.0,1.0,9,11.0
52,21.0,True,1,1.0,5.0,10,11.0
53,22.0,True,1,0.0,5.0,11,11.0
54,23.0,True,1,1.0,0.0,12,11.0
55,24.0,True,1,0.0,2.0,13,11.0
56,849.0,False,2,1.0,2.0,-14,863.0
57,850.0,False,2,0.0,1.0,-13,863.0
58,851.0,False,2,0.0,0.0,-12,863.0
59,852.0,False,2,0.0,1.0,-11,863.0
60,853.0,False,2,0.0,0.0,-10,863.0
61,854.0,False,2,0.0,0.0,-9,863.0
62,855.0,False,2,0.0,1.0,-8,863.0
63,856.0,False,2,0.0,0.0,-7,863.0
64,857.0,False,2,0.0,0.0,-6,863.0
65,858.0,False,2,0.0,0.0,-5,863.0
66,859.0,False,2,0.0,0.0,-4,863.0
67,860.0,False,2,0.0,1.0,-3,863.0
68,861.0,False,2,0.0,0.0,-2,863.0
69,862.0,False,2,0.0,0.0,-1,863.0
70,863.0,True,2,0.0,1.0,0,863.0
71,864.0,True,2,0.0,0.0,1,863.0
72,865.0,True,2,0.0,0.0,2,863.0
73,866.0,True,2,0.0,2.0,3,863.0
74,867.0,True,2,0.0,0.0,4,863.0
75,868.0,True,2,0.0,2.0,5,863.0
76,869.0,True,2,0.0,1.0,6,863.0
77,870.0,True,2,0.0,1.0,7,863.0
78,871.0,True,2,0.0,3.0,8,863.0
79,872.0,True,2,0.0,2.0,9,863.0
80,873.0,True,2,0.0,1.0,10,863.0
81,874.0,True,2,0.0,0.0,11,863.0
82,875.0,True,2,0.0,1.0,12,863.0
83,876.0,True,2,0.0,0.0,13,863.0
84,627.0,False,3,0.0,1.0,-14,641.0
85,628.0,False,3,1.0,5.0,-13,641.0
86,629.0,False,3,0.0,4.0,-12,641.0
87,630.0,False,3,0.0,0.0,-11,641.0
88,631.0,False,3,0.0,1.0,-10,641.0
89,632.0,False,3,0.0,1.0,-9,641.0
90,633.0,False,3,1.0,4.0,-8,641.0
91,634.0,False,3,0.0,4.0,-7,641.0
92,635.0,False,3,2.0,5.0,-6,641.0
93,636.0,False,3,0.0,3.0,-5,641.0
94,637.0,False,3,3.0,1.0,-4,641.0
95,638.0,False,3,0.0,3.0,-3,641.0
96,639.0,False,3,1.0,2.0,-2,641.0
97,640.0,False,3,1.0,4.0,-1,641.0
98,641.0,True,3,29.0,13.0,0,641.0
99,642.0,True,3,4.0,2.0,1,641.0
100,643.0,True,3,1.0,2.0,2,641.0
101,644.0,True,3,1.0,4.0,3,641.0
102,645.0,True,3,2.0,2.0,4,641.0
103,646.0,True,3,1.0,2.0,5,641.0
104,647.0,True,3,1.0,4.0,6,641.0
105,648.0,True,3,0.0,2.0,7,641.0
106,649.0,True,3,1.0,3.0,8,641.0
107,650.0,True,3,1.0,2.0,9,641.0
108,651.0,True,3,1.0,1.0,10,641.0
109,652.0,True,3,0.0,3.0,11,641.0
110,653.0,True,3,0.0,1.0,12,641.0
111,654.0,True,3,1.0,1.0,13,641.0
112,-8.0,False,4,0.0,0.0,-14,6.0
113,-7.0,False,4,0.0,0.0,-13,6.0
114,-6.0,False,4,0.0,0.0,-12,6.0
115,-5.0,False,4,0.0,56.0,-11,6.0
116,-4.0,False,4,0.0,286.0,-10,6.0
117,-3.0,False,4,0.0,200.0,-9,6.0
118,-2.0,False,4,2.0,242.0,-8,6.0
119,-1.0,False,4,19.0,269.0,-7,6.0
120,0.0,False,4,70.0,328.0,-6,6.0
121,1.0,False,4,60.0,149.0,-5,6.0
122,2.0,False,4,41.0,154.0,-4,6.0
123,3.0,False,4,36.0,145.0,-3,6.0
124,4.0,False,4,42.0,155.0,-2,6.0
125,5.0,False,4,20.0,130.0,-1,6.0
126,6.0,True,4,22.0,153.0,0,6.0
127,7.0,True,4,6.0,106.0,1,6.0
128,8.0,True,4,4.0,72.0,2,6.0
129,9.0,True,4,8.0,47.0,3,6.0
130,10.0,True,4,2.0,47.0,4,6.0
131,11.0,True,4,3.0,66.0,5,6.0
132,12.0,True,4,1.0,114.0,6,6.0
133,13.0,True,4,3.0,63.0,7,6.0
134,14.0,True,4,1.0,67.0,8,6.0
135,15.0,True,4,0.0,77.0,9,6.0
136,16.0,True,4,3.0,75.0,10,6.0
137,17.0,True,4,2.0,53.0,11,6.0
138,18.0,True,4,1.0,46.0,12,6.0
139,19.0,True,4,2.0,79.0,13,6.0
140,816.0,False,5,0.0,0.0,-14,830.0
141,817.0,False,5,0.0,1.0,-13,830.0
142,818.0,False,5,0.0,1.0,-12,830.0
143,819.0,False,5,0.0,0.0,-11,830.0
144,820.0,False,5,0.0,2.0,-10,830.0
145,821.0,False,5,0.0,0.0,-9,830.0
146,822.0,False,5,1.0,2.0,-8,830.0
147,823.0,False,5,0.0,0.0,-7,830.0
148,824.0,False,5,1.0,0.0,-6,830.0
149,825.0,False,5,0.0,0.0,-5,830.0
150,826.0,False,5,0.0,0.0,-4,830.0
151,827.0,False,5,0.0,1.0,-3,830.0
152,828.0,False,5,0.0,2.0,-2,830.0
153,829.0,False,5,0.0,15.0,-1,830.0
154,830.0,True,5,0.0,1.0,0,830.0
155,831.0,True,5,0.0,3.0,1,830.0
156,832.0,True,5,0.0,7.0,2,830.0
157,833.0,True,5,0.0,1.0,3,830.0
158,834.0,True,5,0.0,2.0,4,830.0
159,835.0,True,5,0.0,1.0,5,830.0
160,836.0,True,5,0.0,2.0,6,830.0
161,837.0,True,5,0.0,2.0,7,830.0
162,838.0,True,5,1.0,0.0,8,830.0
163,839.0,True,5,1.0,5.0,9,830.0
164,840.0,True,5,1.0,4.0,10,830.0
165,841.0,True,5,0.0,1.0,11,830.0
166,842.0,True,5,0.0,0.0,12,830.0
167,843.0,True,5,0.0,7.0,13,830.0
168,740.0,False,6,3.0,3.0,-14,754.0
169,741.0,False,6,0.0,5.0,-13,754.0
170,742.0,False,6,0.0,0.0,-12,754.0
171,743.0,False,6,1.0,3.0,-11,754.0
172,744.0,False,6,0.0,7.0,-10,754.0
173,745.0,False,6,3.0,18.0,-9,754.0
174,746.0,False,6,0.0,5.0,-8,754.0
175,747.0,False,6,3.0,10.0,-7,754.0
176,748.0,False,6,1.0,20.0,-6,754.0
177,749.0,False,6,11.0,61.0,-5,754.0
178,750.0,False,6,1.0,7.0,-4,754.0
179,751.0,False,6,1.0,3.0,-3,754.0
180,752.0,False,6,3.0,12.0,-2,754.0
181,753.0,False,6,0.0,9.0,-1,754.0
182,754.0,True,6,4.0,35.0,0,754.0
183,755.0,True,6,1.0,3.0,1,754.0
184,756.0,True,6,2.0,10.0,2,754.0
185,757.0,True,6,2.0,8.0,3,754.0
186,758.0,True,6,1.0,1.0,4,754.0
187,759.0,True,6,2.0,2.0,5,754.0
188,760.0,True,6,0.0,3.0,6,754.0
189,761.0,True,6,1.0,6.0,7,754.0
190,762.0,True,6,0.0,5.0,8,754.0
191,763.0,True,6,1.0,7.0,9,754.0
192,764.0,True,6,1.0,14.0,10,754.0
193,765.0,True,6,0.0,6.0,11,754.0
194,766.0,True,6,1.0,4.0,12,754.0
195,767.0,True,6,1.0,8.0,13,754.0
196,650.0,False,7,3.0,13.0,-14,664.0
197,651.0,False,7,3.0,22.0,-13,664.0
198,652.0,False,7,1.0,4.0,-12,664.0
199,653.0,False,7,0.0,6.0,-11,664.0
200,654.0,False,7,3.0,8.0,-10,664.0
201,655.0,False,7,0.0,6.0,-9,664.0
202,656.0,False,7,0.0,10.0,-8,664.0
203,657.0,False,7,0.0,4.0,-7,664.0
204,658.0,False,7,11.0,5.0,-6,664.0
205,659.0,False,7,2.0,7.0,-5,664.0
206,660.0,False,7,3.0,9.0,-4,664.0
207,661.0,False,7,2.0,10.0,-3,664.0
208,662.0,False,7,1.0,12.0,-2,664.0
209,663.0,False,7,4.0,15.0,-1,664.0
210,664.0,True,7,8.0,13.0,0,664.0
211,665.0,True,7,1.0,12.0,1,664.0
212,666.0,True,7,0.0,11.0,2,664.0
213,667.0,True,7,5.0,30.0,3,664.0
214,668.0,True,7,4.0,26.0,4,664.0
215,669.0,True,7,4.0,4.0,5,664.0
216,670.0,True,7,4.0,31.0,6,664.0
217,671.0,True,7,1.0,23.0,7,664.0
218,672.0,True,7,1.0,8.0,8,664.0
219,673.0,True,7,4.0,31.0,9,664.0
220,674.0,True,7,0.0,16.0,10,664.0
221,675.0,True,7,3.0,7.0,11,664.0
222,676.0,True,7,1.0,8.0,12,664.0
223,677.0,True,7,2.0,12.0,13,664.0
224,341.0,False,8,0.0,4.0,-14,355.0
225,342.0,False,8,0.0,6.0,-13,355.0
226,343.0,False,8,0.0,2.0,-12,355.0
227,344.0,False,8,1.0,2.0,-11,355.0
228,345.0,False,8,0.0,1.0,-10,355.0
229,346.0,False,8,0.0,2.0,-9,355.0
230,347.0,False,8,4.0,40.0,-8,355.0
231,348.0,False,8,1.0,4.0,-7,355.0
