"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.246391839134141,0.114501500071397,2.15186559984371,0.031407941322176
"2","ts::-12:treat",0.311207521770363,0.139569672855031,2.22976464302249,0.0257630718197608
"3","ts::-11:treat",0.340538124148356,0.117102536272842,2.90803371973875,0.00363709117826757
"4","ts::-10:treat",0.38588403655817,0.13191302607246,2.92529136846731,0.00344133843842137
"5","ts::-9:treat",0.826811081618572,0.280004346305066,2.95285088438504,0.00314854014109063
"6","ts::-8:treat",0.963617057663683,0.224378503580954,4.29460506369773,1.75004590576051e-05
"7","ts::-7:treat",0.926280147498236,0.26243796818344,3.52952034307316,0.000416313696629098
"8","ts::-6:treat",0.742550976841378,0.175243078897911,4.23726278670302,2.26261263102699e-05
"9","ts::-5:treat",0.85025796305216,0.161160829846049,5.27583510127357,1.3215288219865e-07
"10","ts::-4:treat",0.852424119480105,0.149971281601937,5.6839156828883,1.31645199554902e-08
"11","ts::-3:treat",0.949119952317167,0.179575227167086,5.28536127889208,1.2545691266158e-07
"12","ts::-2:treat",0.864758971083325,0.196241774189308,4.40659984172952,1.05005918342409e-05
"13","ts::-1:treat",1.64623835922641,0.172206243634263,9.55969031368419,1.18109592637513e-21
"14","ts::0:treat",1.97245851646208,0.148398208664805,13.2916598805945,2.58773256495066e-40
"15","ts::1:treat",1.14705020099497,0.151675615749473,7.56252213203199,3.95327826363756e-14
"16","ts::2:treat",0.938085611320487,0.158297518368891,5.9260917100065,3.10229374333849e-09
"17","ts::3:treat",0.931915717626215,0.18196948206985,5.12127477105472,3.03477061213882e-07
"18","ts::4:treat",0.908956061276857,0.187402533420698,4.85028694482134,1.23282994093937e-06
"19","ts::5:treat",0.967806924624178,0.166499617039686,5.8126675714425,6.14850846096129e-09
"20","ts::6:treat",0.828683357990133,0.177559911377312,4.66706336786346,3.05535122761784e-06
"21","ts::7:treat",0.99653270973535,0.19724352515371,5.05229618543251,4.3653006874085e-07
"22","ts::8:treat",1.05152801331554,0.185808808241386,5.65919357251076,1.52085937868786e-08
"23","ts::9:treat",0.940697603471866,0.205682169182246,4.57354960428464,4.79530082926361e-06
"24","ts::10:treat",0.820359655423153,0.173627835080206,4.7248164733736,2.30323268322539e-06
"25","ts::11:treat",0.884695694348801,0.187655725124804,4.71446151595119,2.42350801146501e-06
"26","ts::12:treat",0.737727216736973,0.18763280462548,3.93176032415811,8.4326115637578e-05
"27","ts::13:treat",0.81937521449422,0.201314030807927,4.07013466078766,4.69859708504223e-05
