"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.0309308291440612,0.0805037519177681,0.384215994996805,0.700818364181001
"2","ts::-12:treat",-0.158399798656725,0.147806546613615,-1.07166970804617,0.283868411263081
"3","ts::-11:treat",-0.113137096821566,0.188841385168576,-0.599111771609651,0.549098352294071
"4","ts::-10:treat",-0.312823662166063,0.132504659539231,-2.36085027691757,0.0182330902647521
"5","ts::-9:treat",-0.314061317662027,0.165944650676785,-1.89256668642928,0.0584155174880095
"6","ts::-8:treat",-0.263490832732232,0.181882461377809,-1.44868741458751,0.14742489671246
"7","ts::-7:treat",-0.177405926003426,0.175659315817061,-1.00994316856035,0.312522518891457
"8","ts::-6:treat",-0.262918011627236,0.188408028940071,-1.39547137723555,0.162873740272576
"9","ts::-5:treat",-0.124267106181928,0.189687762553742,-0.655113985788733,0.512394368102249
"10","ts::-4:treat",-0.174969012395499,0.182439386529272,-0.959052843380532,0.3375321248564
"11","ts::-3:treat",-0.320244338272141,0.188289678820831,-1.70080665216319,0.0889792997367453
"12","ts::-2:treat",-0.363554657371867,0.201610005245027,-1.80325702055322,0.0713478591447674
"13","ts::-1:treat",-0.383862054306839,0.220703562631199,-1.73926532825518,0.0819881030197751
"14","ts::0:treat",0.00680423295803742,0.18797323398622,0.0361978820800425,0.971124574739686
"15","ts::1:treat",-0.182188685990243,0.183170508042652,-0.994639846431065,0.319911460435285
"16","ts::2:treat",-0.351843491575,0.186285295159446,-1.88873464904382,0.0589273933528033
"17","ts::3:treat",-0.357206723180142,0.198500336788853,-1.79952703838537,0.0719353508098114
"18","ts::4:treat",-0.353639889922807,0.204989315953343,-1.725162544585,0.0844981836252709
"19","ts::5:treat",-0.416916970046572,0.197029973747493,-2.11600784447588,0.0343441404066474
"20","ts::6:treat",-0.407546442347421,0.220227238236943,-1.85057237065717,0.0642310976180775
"21","ts::7:treat",-0.435921331384054,0.195893447553365,-2.22529817525061,0.0260612278732353
"22","ts::8:treat",-0.420122270299107,0.193570189629226,-2.17038724353078,0.0299775223587947
"23","ts::9:treat",-0.506127458373351,0.194618221446452,-2.60061701628801,0.00930562765981548
"24","ts::10:treat",-0.436832945425548,0.190503472659618,-2.29304452736176,0.0218454415465413
"25","ts::11:treat",-0.521786731262774,0.199718460398087,-2.6126114242155,0.00898533973747235
"26","ts::12:treat",-0.461761358814924,0.203022541025486,-2.27443394453899,0.0229399084729195
"27","ts::13:treat",-0.497687096314667,0.199738704678335,-2.49169081734136,0.0127136655016827
